ClienteID,FechaRegistro,Genero,EsMayor,TienePareja,TieneDependientes,Ciudad,Estado,Borough,CodigoPostal,Latitud,Longitud,IngresoMediano,DensidadPoblacional,ServicioTelefono,LineasMultiples,TipoInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturacionSinPapel,MetodoPago,Antiguedad,CargoMensual,CargosTotal,SegmentoCliente,nivel_riesgo,score_riesgo,ratio_precio_ingreso,TipoDeQueja,TicketsSoporte,Escaladas,PuntuacionNPS,PuntuacionCSAT,TiempoResolucion,TasaAperturaEmail,TasaClicsMarketing,Cancelacion
0030-FNXPP,2025-10-12,Femenino,0,No,No,New York,NY,BROOKLYN,11232,40.68356778335394,-73.97536149906651,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,3,19.85,57.2,Residencial,Alto,9.0,0.0037809523809523,,3,0,37.0,3.9,42.0,0.47,0.22,No
0031-PVLZI,2025-09-12,Femenino,0,Si,Si,New York,NY,BROOKLYN,11235,40.68004929749422,-73.95896911157908,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,4,20.35,76.35,Residencial,Alto,9.0,0.0038761904761904,Servicio,8,3,19.0,1.6,44.9,0.19,0.09,Si
0032-PGELS,2025-12-11,Femenino,0,Si,Si,New York,NY,BRONX,10460,40.87315838947429,-73.82260125240349,42000,13000,No,Sin servicio,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria,1,30.5,30.5,Residencial,Alto,9.0,0.0087142857142857,Red,5,2,18.0,2.1,46.0,0.27,0.11,Si
0036-IHMOT,2021-07-05,Femenino,0,Si,Si,New York,NY,MANHATTAN,10247,40.82915685363234,-74.00693456485268,85000,28000,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,55,103.7,5656.75,Corporativo,Medio,5.0,0.01464,,1,0,64.0,3.9,6.5,0.42,0.19,No
0040-HALCW,2021-08-04,Masculino,0,Si,Si,New York,NY,QUEENS,11295,40.76116956844171,-73.80991966454884,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,54,20.4,1090.6,Residencial,Medio,4.0,0.0034,,1,0,65.0,4.0,20.2,0.2,0.08,No
0042-JVWOJ,2023-11-22,Masculino,0,No,No,New York,NY,QUEENS,11020,40.729457621592424,-73.8181225685396,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,Si,Transferencia bancaria,26,19.6,471.85,Residencial,Medio,5.0,0.0032666666666666,,2,0,84.0,4.7,39.6,0.45,0.18,No
0042-RLHYP,2020-05-11,Femenino,0,Si,Si,New York,NY,MANHATTAN,10117,40.803764252174894,-73.92713600008139,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,69,19.7,1396.9,Residencial,Medio,4.0,0.0027811764705882,,2,0,82.0,4.4,23.3,0.74,0.24,No
0048-LUMLS,2022-12-27,Masculino,0,Si,Si,New York,NY,MANHATTAN,10228,40.80097882222602,-74.00359173669682,85000,28000,Si,No,Fibra óptica,No,No,No,No,Si,Si,Un año,No,Tarjeta de crédito,37,91.2,3247.55,PYME,Alto,8.0,0.012875294117647,Servicio,4,0,37.0,3.5,45.7,0.44,0.18,No
0048-PIHNL,2022-01-01,Femenino,0,Si,No,New York,NY,MANHATTAN,10154,40.75281060388236,-73.93366367600991,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Transferencia bancaria,49,20.45,900.9,Residencial,Medio,5.0,0.0028870588235294,,2,0,50.0,3.7,17.1,0.27,0.1,No
0052-DCKON,2020-08-09,Masculino,0,Si,No,New York,NY,BRONX,10474,40.82176343992192,-73.8493229286398,42000,13000,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,No,Transferencia bancaria,66,115.8,7942.15,Corporativo,Medio,6.0,0.0330857142857142,,2,0,81.0,4.7,6.4,0.62,0.24,No
0052-YNYOT,2020-07-10,Femenino,0,No,No,New York,NY,STATEN ISLAND,10311,40.614460017498246,-74.15218650603616,82000,3200,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque electrónico,67,20.55,1343.4,Residencial,Medio,5.0,0.0030073170731707,,2,0,53.0,3.5,29.2,0.42,0.13,No
0056-EPFBG,2024-05-20,Masculino,0,Si,Si,New York,NY,BRONX,10456,40.81021475243363,-73.82923563358551,42000,13000,No,Sin servicio,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de crédito,20,39.4,825.4,PYME,Medio,4.0,0.0112571428571428,,1,0,65.0,3.4,7.5,0.37,0.15,No
0057-QBUQH,2022-06-30,Femenino,0,No,Si,New York,NY,BROOKLYN,11211,40.64710776537783,-73.90410922697329,63000,14000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,Si,Cheque electrónico,43,25.1,1070.15,Residencial,Medio,4.0,0.0047809523809523,,1,0,82.0,4.5,34.3,0.42,0.17,No
0058-EVZWM,2021-07-05,Femenino,0,Si,No,New York,NY,MANHATTAN,10002,40.78501630395745,-73.99139424282052,85000,28000,Si,Si,Fibra óptica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,55,89.8,4959.6,PYME,Alto,9.5,0.0126776470588235,,4,1,47.0,4.0,31.8,0.46,0.21,No
0060-FUALY,2021-03-07,Femenino,0,Si,No,New York,NY,QUEENS,11641,40.73861739381726,-73.83280393377615,72000,8500,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,Mensual,Si,Cheque electrónico,59,94.75,5597.65,PYME,Alto,8.5,0.0157916666666666,Red,2,0,60.0,3.8,13.1,0.37,0.16,No
0064-SUDOG,2025-01-15,Femenino,0,Si,Si,New York,NY,BROOKLYN,11239,40.64456084208437,-73.95792328668625,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,12,20.3,224.5,Residencial,Medio,5.0,0.0038666666666666,,2,0,50.0,3.9,32.9,0.4,0.13,No
0064-YIJGF,2023-10-23,Masculino,0,Si,Si,New York,NY,MANHATTAN,10141,40.79198102701562,-74.01227778319428,85000,28000,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria,27,75.75,1929.0,PYME,Alto,9.5,0.0106941176470588,,3,0,56.0,4.2,18.1,0.37,0.17,No
0067-DKWBL,2025-11-11,Masculino,1,No,No,New York,NY,BROOKLYN,11245,40.67838402425557,-73.91640554725296,63000,14000,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,2,49.25,91.1,Residencial,Alto,9.0,0.0093809523809523,Red,5,2,22.0,2.0,12.9,0.16,0.08,Si
0068-FIGTF,2023-10-23,Femenino,0,No,No,New York,NY,MANHATTAN,10061,40.789215021243514,-73.95245631390591,85000,28000,Si,No,DSL,No,Si,Si,Si,Si,Si,Un año,No,Cheque por correo,27,78.2,2078.95,PYME,Medio,4.0,0.01104,,1,0,83.0,4.0,10.1,0.58,0.19,No
0071-NDAFP,2023-12-22,Masculino,0,Si,Si,New York,NY,BRONX,10461,40.823088590978635,-73.82531307992944,42000,13000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,25,25.5,630.6,Residencial,Medio,4.0,0.0072857142857142,,2,0,50.0,3.4,24.9,0.25,0.12,No
0074-HDKDG,2023-12-22,Masculino,0,Si,Si,New York,NY,BROOKLYN,11211,40.65682590353831,-73.95181918148263,63000,14000,Si,No,DSL,Si,Si,Si,No,No,No,Un año,Si,Transferencia bancaria,25,61.6,1611.0,Residencial,Medio,5.0,0.0117333333333333,,2,0,65.0,3.1,36.7,0.46,0.22,No
0076-LVEPS,2023-08-24,Masculino,0,No,Si,New York,NY,QUEENS,11691,40.75922591305173,-73.79124218099713,72000,8500,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,Mensual,Si,Cheque por correo,29,45.0,1242.45,Residencial,Medio,4.5,0.0075,,1,0,80.0,5.0,8.9,0.4,0.16,No
0078-XZMHT,2020-02-11,Masculino,0,Si,No,New York,NY,BROOKLYN,11228,40.70209282961309,-73.91293873609118,63000,14000,Si,Si,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,72,85.15,6316.2,Corporativo,Medio,4.0,0.0162190476190476,,2,0,65.0,3.3,6.8,0.29,0.14,No
0080-EMYVY,2024-11-16,Femenino,0,No,No,New York,NY,QUEENS,11126,40.680038098977526,-73.7759361480341,72000,8500,Si,No,DSL,No,Si,No,No,No,No,Un año,No,Tarjeta de crédito,14,51.45,727.85,Residencial,Medio,7.0,0.008575,,2,0,51.0,3.5,47.9,0.36,0.15,No
0080-OROZO,2023-02-25,Femenino,0,No,No,New York,NY,QUEENS,11565,40.7407983913918,-73.82984554119378,72000,8500,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Un año,Si,Cheque electrónico,35,99.25,3532.0,Corporativo,Medio,5.0,0.0165416666666666,,2,0,51.0,3.6,5.9,0.37,0.12,No
0082-LDZUE,2025-12-11,Masculino,0,No,No,New York,NY,MANHATTAN,10054,40.77355195244582,-73.984838855081,85000,28000,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,1,44.3,44.3,Residencial,Alto,10.0,0.0062541176470588,,2,0,47.0,3.5,21.8,0.26,0.08,No
0082-OQIQY,2023-08-24,Masculino,0,No,No,New York,NY,STATEN ISLAND,10304,40.58081700163306,-74.15063092297713,82000,3200,Si,No,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,29,94.2,2607.6,Corporativo,Medio,7.5,0.0137853658536585,,2,0,80.0,4.5,2.8,0.79,0.32,No
0083-PIVIK,2020-10-08,Masculino,0,No,No,New York,NY,BRONX,10474,40.81237152458368,-73.85508833799845,42000,13000,Si,Si,DSL,Si,Si,Si,Si,Si,No,Un año,No,Cheque electrónico,64,81.25,5567.55,PYME,Medio,5.0,0.0232142857142857,,2,0,68.0,3.3,5.0,0.41,0.16,No
0089-IIQKO,2022-10-28,Femenino,0,Si,Si,New York,NY,BRONX,10454,40.839468872174464,-73.88938527198722,42000,13000,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito,39,99.95,3767.4,Corporativo,Medio,7.5,0.0285571428571428,,1,0,62.0,4.1,3.3,0.48,0.17,No
0093-EXYQL,2022-09-28,Femenino,1,No,No,New York,NY,BRONX,10471,40.82528381692563,-73.84600899085447,42000,13000,Si,No,Fibra óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,40,91.55,3673.6,PYME,Alto,9.5,0.0261571428571428,Servicio,2,0,69.0,3.3,15.5,0.26,0.13,No
0093-XWZFY,2022-09-28,Masculino,0,No,No,New York,NY,QUEENS,11174,40.708676091279735,-73.8267191534333,72000,8500,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de crédito,40,104.5,4036.85,PYME,Alto,8.5,0.0174166666666666,Precio,7,0,0.0,2.8,42.9,0.27,0.13,Si
0094-OIFMO,2025-02-14,Femenino,1,No,No,New York,NY,BRONX,10462,40.80641805742541,-73.85317459594292,42000,13000,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,11,95.0,1120.3,PYME,Alto,9.5,0.0271428571428571,Servicio,7,2,20.0,1.6,14.8,0.23,0.1,Si
0096-BXERS,2025-07-14,Femenino,0,Si,No,New York,NY,MANHATTAN,10068,40.77213764460469,-73.97962251990103,85000,28000,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,6,50.35,314.55,Residencial,Alto,9.5,0.0071082352941176,Red,2,0,45.0,3.6,47.7,0.41,0.19,No
0096-FCPUF,2023-07-25,Masculino,0,No,No,New York,NY,MANHATTAN,10051,40.78853007058479,-73.96848516183746,85000,28000,Si,Si,DSL,Si,No,No,No,No,Si,Mensual,Si,Cheque por correo,30,64.5,1888.45,Residencial,Medio,7.5,0.0091058823529411,,1,0,64.0,4.1,37.7,0.39,0.16,No
0098-BOWSO,2023-10-23,Masculino,0,No,No,New York,NY,MANHATTAN,10108,40.76406318100028,-73.9548265639306,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,27,19.4,529.8,Residencial,Medio,6.5,0.0027388235294117,,2,0,57.0,3.5,46.9,0.48,0.19,No
0100-DUVFC,2020-04-11,Masculino,1,Si,No,New York,NY,BROOKLYN,11223,40.656822430724,-73.94818973734422,63000,14000,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Un año,Si,Cheque electrónico,70,104.8,7308.95,Corporativo,Medio,7.0,0.0199619047619047,,1,0,64.0,3.2,22.2,0.35,0.16,No
0103-CSITQ,2021-05-06,Femenino,0,Si,No,New York,NY,BROOKLYN,11253,40.67136602141438,-73.91244346704553,63000,14000,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,57,109.4,6252.7,Corporativo,Medio,5.0,0.0208380952380952,,1,0,76.0,4.4,4.4,0.61,0.22,No
0104-PPXDV,2021-04-06,Masculino,0,Si,No,New York,NY,BROOKLYN,11201,40.71787465499077,-73.97312933349251,63000,14000,Si,No,DSL,No,No,Si,No,No,No,Un año,No,Tarjeta de crédito,58,50.3,2878.55,Residencial,Medio,6.0,0.0095809523809523,,1,0,51.0,3.0,27.4,0.49,0.17,No
0106-GHRQR,2024-09-17,Masculino,0,No,No,New York,NY,BRONX,10451,40.79831746315316,-73.82361784063633,42000,13000,Si,Si,DSL,No,Si,Si,No,No,Si,Mensual,Si,Transferencia bancaria,16,71.4,1212.1,Residencial,Medio,7.5,0.0204,,2,0,56.0,3.6,47.6,0.26,0.09,No
0106-UGRDO,2020-05-11,Femenino,0,Si,No,New York,NY,BROOKLYN,11226,40.635714295317754,-73.98077975736736,63000,14000,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,69,116.0,8182.85,Corporativo,Medio,4.0,0.022095238095238,,1,0,77.0,4.4,2.5,0.7,0.21,No
0107-WESLM,2025-12-11,Masculino,0,No,No,New York,NY,BROOKLYN,11227,40.72376394617234,-73.91699104761187,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,1,19.85,19.85,Residencial,Alto,9.0,0.0037809523809523,Red,5,0,21.0,2.3,40.4,0.19,0.09,Si
0107-YHINA,2025-12-11,Masculino,0,No,Si,New York,NY,QUEENS,11474,40.733942474467014,-73.81929788269385,72000,8500,Si,Si,Fibra óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,1,99.75,99.75,PYME,Alto,11.0,0.016625,Servicio,5,0,7.0,2.2,40.2,0.08,0.02,Si
0111-KLBQG,2023-05-26,Masculino,1,Si,Si,New York,NY,MANHATTAN,10277,40.816457410964574,-74.00168911799757,85000,28000,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque por correo,32,93.95,2861.45,PYME,Alto,8.5,0.0132635294117647,Red,4,2,55.0,3.1,18.1,0.32,0.1,No
0112-QAWRZ,2024-09-17,Masculino,0,Si,Si,New York,NY,BRONX,10459,40.840664989808104,-73.8471023247689,42000,13000,Si,Si,Fibra óptica,No,No,Si,No,Si,No,Mensual,Si,Transferencia bancaria,16,90.8,1442.2,PYME,Alto,10.5,0.0259428571428571,Precio,3,0,69.0,3.8,28.4,0.29,0.11,No
0112-QWPNC,2022-01-01,Masculino,0,Si,No,New York,NY,MANHATTAN,10267,40.820233359234024,-73.92130953002369,85000,28000,Si,Si,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque electrónico,49,84.35,4059.35,PYME,Medio,5.0,0.0119082352941176,Precio,3,0,26.0,1.1,11.5,0.23,0.1,Si
0114-IGABW,2020-03-12,Femenino,0,Si,No,New York,NY,STATEN ISLAND,10312,40.6278731853997,-74.10412852483302,82000,3200,No,Sin servicio,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,71,58.25,4145.9,PYME,Bajo,3.0,0.0085243902439024,Ninguna,0,0,84.0,4.6,9.2,0.62,0.25,No
0114-PEGZZ,2023-04-26,Femenino,0,No,No,New York,NY,BRONX,10472,40.82050960893951,-73.86685450218502,42000,13000,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,No,Cheque electrónico,33,107.55,3645.5,PYME,Alto,9.5,0.0307285714285714,Servicio,2,0,54.0,3.2,43.8,0.22,0.08,No
0114-RSRRW,2025-03-16,Femenino,0,Si,No,New York,NY,MANHATTAN,10142,40.823244682953835,-73.96545707207356,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Transferencia bancaria,10,19.95,187.75,Residencial,Medio,7.5,0.0028164705882352,,1,0,54.0,3.9,15.7,0.2,0.06,No
0115-TFERT,2024-04-20,Masculino,0,Si,No,New York,NY,MANHATTAN,10055,40.8164006215201,-73.9513826139285,85000,28000,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,21,111.2,2317.1,Corporativo,Medio,7.5,0.0156988235294117,Facturacion,3,0,32.0,3.1,2.1,0.4,0.13,Si
0117-LFRMW,2022-12-27,Masculino,0,Si,Si,New York,NY,BRONX,10451,40.876590417683246,-73.91096361386444,42000,13000,No,Sin servicio,DSL,Si,Si,Si,No,No,No,Mensual,No,Transferencia bancaria,37,40.2,1448.8,Residencial,Medio,5.5,0.0114857142857142,Precio,4,2,13.0,1.3,19.3,0.15,0.05,Si
0118-JPNOY,2023-11-22,Femenino,1,No,No,New York,NY,QUEENS,11083,40.68020459995326,-73.78664310907851,72000,8500,Si,No,Fibra óptica,Si,No,No,No,Si,No,Mensual,Si,Tarjeta de crédito,26,85.8,2193.65,PYME,Alto,9.5,0.0143,Precio,4,0,68.0,3.8,41.4,0.39,0.14,No
0121-SNYRK,2021-12-02,Masculino,0,No,No,New York,NY,BRONX,10463,40.83947395253114,-73.88050334802999,42000,13000,No,Sin servicio,DSL,Si,No,No,Si,No,No,Un año,Si,Cheque por correo,50,35.4,1748.9,Residencial,Medio,4.0,0.0101142857142857,,2,0,68.0,3.8,6.2,0.31,0.12,No
0122-OAHPZ,2025-06-14,Femenino,0,No,No,New York,NY,MANHATTAN,10087,40.80474529815588,-73.99623752955894,85000,28000,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,7,73.85,511.25,PYME,Alto,10.5,0.0104258823529411,Servicio,8,0,17.0,1.4,18.9,0.09,0.04,Si
