cliente_id,genero,edad,pais,ciudad,segmento_de_cliente,meses_permanencia,canal_de_registro,tipo_contrato,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,ultima_conexion,cuota_mensual,ingresos_totales,metodo_de_pago,errores_de_pago,descuento_aplicado,aumento_ultimos_3_meses,tickets_de_soporte,tiempo_promedio_de_resolucion,tipo_de_queja,puntuacion_csates,escaladas,tasa_apertura_email,puntuacion_nps,respuesta_de_la_encuesta,estado_de_conexion,permanencia_corta,abandonar
cust00021,femenino,70,uk,londres,individual,6,mobile,trimestral,2,7,22.01,6,0.05,82,30,180,paypal,1,0,0,1,32.14,facturacion,3.0,0,0.11,4.0,neutral,inactivo,1,0
cust00022,masculino,54,uk,londres,sme,45,web,mensual,13,6,14.49,2,-0.28,11,10,450,transferencia bancaria,2,0,1,2,18.33,facturacion,5.0,2,0.74,9.0,muy satisfecho,en riesgo,0,0
cust00023,femenino,26,australia,sydney,sme,32,web,trimestral,14,5,20.27,3,0.04,30,70,2240,transferencia bancaria,0,1,0,2,22.11,tecnico,4.0,1,1.0,6.0,satisfecho,en riesgo,0,0
cust00024,femenino,32,canada,toronto,individual,31,referido,mensual,5,2,10.58,3,-0.04,21,30,930,tarjeta,1,0,0,1,7.51,facturacion,4.0,0,0.9,7.0,satisfecho,en riesgo,0,0
cust00025,femenino,20,banglades,dhaka,sme,5,web,mensual,1,1,27.01,3,0.13,66,50,250,paypal,1,0,0,1,22.87,facturacion,2.0,0,0.01,3.0,insatisfecho,inactivo,1,1
cust00026,femenino,46,us,new york,sme,23,referido,trimestral,3,2,18.53,5,-0.05,1,10,230,tarjeta,1,0,0,3,28.12,facturacion,3.0,1,0.83,5.0,neutral,activo,0,0
cust00027,femenino,23,canada,toronto,enterprise,4,referido,trimestral,1,6,15.79,6,0.06,48,20,80,transferencia bancaria,1,1,0,3,13.02,facturacion,1.0,1,0.13,1.0,muy insatisfecho,inactivo,1,1
cust00028,femenino,34,us,new york,individual,23,referido,mensual,33,2,6.51,5,-0.03,28,30,690,paypal,0,0,0,0,28.82,sin queja,3.0,0,0.31,5.0,neutral,en riesgo,0,0
cust00029,femenino,43,india,delhi,individual,26,referido,mensual,8,6,22.61,4,-0.14,13,10,260,tarjeta,1,0,0,1,29.17,facturacion,4.0,1,0.69,7.0,satisfecho,en riesgo,0,1
cust00030,femenino,38,australia,sydney,sme,46,mobile,anual,7,3,7.41,4,0.04,22,10,460,tarjeta,0,1,0,1,27.27,otro tipo de queja,4.0,1,0.96,7.0,satisfecho,en riesgo,0,0
cust00031,masculino,25,alemania,berlin,individual,20,mobile,mensual,8,7,30.52,5,0.03,14,70,1400,paypal,0,0,0,1,24.02,otro tipo de queja,5.0,0,0.88,9.0,muy satisfecho,en riesgo,0,0
cust00032,masculino,38,us,new york,individual,43,referido,trimestral,0,2,20.13,6,0.16,17,10,430,tarjeta,1,0,0,1,8.22,facturacion,3.0,1,0.82,5.0,neutral,en riesgo,0,0
cust00033,femenino,74,uk,londres,sme,36,web,mensual,7,4,5.87,6,0.24,26,30,1080,paypal,0,0,0,1,19.83,facturacion,4.0,1,0.87,7.0,satisfecho,en riesgo,0,0
cust00034,femenino,28,india,delhi,individual,27,web,trimestral,7,6,16.49,4,0.36,1,70,1890,tarjeta,2,1,1,1,24.55,facturacion,3.0,1,0.86,5.0,neutral,activo,0,0
cust00035,femenino,55,uk,londres,individual,5,mobile,mensual,2,4,28.77,6,0.07,43,10,50,tarjeta,0,0,0,1,24.77,otro tipo de queja,2.0,0,0.37,3.0,insatisfecho,inactivo,1,1
cust00036,masculino,25,india,delhi,individual,59,mobile,mensual,9,2,14.91,5,0.08,14,70,4130,tarjeta,1,0,0,1,23.51,facturacion,3.0,0,0.52,5.0,neutral,en riesgo,0,0
cust00037,femenino,59,uk,londres,sme,4,mobile,trimestral,1,5,12.49,5,0.06,79,20,80,tarjeta,2,1,1,1,26.82,facturacion,2.0,0,0.0,3.0,insatisfecho,inactivo,1,1
cust00038,masculino,41,canada,toronto,individual,12,mobile,mensual,6,7,17.18,4,-0.1,4,70,840,tarjeta,1,0,1,2,16.19,facturacion,5.0,0,0.72,9.0,muy satisfecho,activo,0,1
cust00039,masculino,52,banglades,dhaka,sme,36,mobile,trimestral,16,5,9.72,4,-0.04,4,30,1080,tarjeta,0,0,0,1,26.01,servicio,5.0,0,0.87,9.0,muy satisfecho,activo,0,0
cust00040,masculino,72,canada,toronto,sme,6,mobile,mensual,0,5,24.34,3,0.09,64,10,60,tarjeta,1,0,0,1,22.91,facturacion,2.0,0,0.06,3.0,insatisfecho,inactivo,1,1
cust00041,masculino,31,canada,toronto,individual,36,web,mensual,6,7,9.01,6,0.2,6,30,1080,tarjeta,0,0,0,0,26.21,sin queja,3.0,0,0.95,6.0,neutral,activo,0,0
cust00042,masculino,72,banglades,dhaka,individual,47,web,trimestral,19,7,18.02,11,0.2,2,30,1410,tarjeta,1,0,0,1,36.26,facturacion,3.0,0,0.6,5.0,neutral,activo,0,0
cust00043,femenino,31,india,delhi,individual,2,mobile,mensual,0,0,23.75,5,-0.01,84,30,60,tarjeta,0,0,1,2,18.49,servicio,2.0,0,0.22,3.0,insatisfecho,inactivo,1,1
cust00044,femenino,27,india,delhi,sme,44,web,mensual,13,4,15.39,3,-0.1,21,50,2200,tarjeta,0,1,0,2,37.29,servicio,3.0,0,0.25,4.0,neutral,en riesgo,0,0
cust00045,femenino,29,banglades,dhaka,individual,44,referido,mensual,18,1,24.04,7,0.24,20,100,4400,tarjeta,0,0,0,0,42.11,sin queja,4.0,0,0.93,7.0,satisfecho,en riesgo,0,0
cust00046,femenino,55,uk,londres,enterprise,11,referido,mensual,19,0,13.68,7,-0.07,13,20,220,paypal,1,0,0,1,21.73,facturacion,4.0,1,0.68,7.0,satisfecho,en riesgo,0,1
cust00047,femenino,61,us,new york,individual,49,mobile,mensual,7,1,7.12,3,-0.17,17,30,1470,tarjeta,1,1,0,2,25.33,facturacion,4.0,0,0.88,7.0,satisfecho,en riesgo,0,0
cust00048,masculino,72,india,delhi,individual,44,referido,mensual,15,6,20.2,4,0.05,8,10,440,tarjeta,1,0,0,1,30.05,facturacion,3.0,1,0.69,6.0,neutral,en riesgo,0,0
cust00049,femenino,63,uk,londres,individual,1,mobile,mensual,1,2,17.36,6,-0.02,35,30,30,tarjeta,2,0,0,1,26.75,facturacion,2.0,1,0.14,3.0,insatisfecho,inactivo,1,1
cust00050,femenino,51,us,new york,sme,38,web,anual,32,2,8.29,7,0.0,10,100,3800,transferencia bancaria,1,1,1,2,28.1,facturacion,3.0,0,0.86,5.0,neutral,en riesgo,0,0
cust00051,masculino,58,banglades,dhaka,individual,32,mobile,mensual,5,7,14.39,2,-0.01,24,20,640,paypal,1,0,1,1,6.59,facturacion,5.0,0,0.78,9.0,muy satisfecho,en riesgo,0,0
cust00052,femenino,27,canada,toronto,individual,43,web,anual,5,2,8.18,10,0.01,1,50,2150,tarjeta,0,1,0,2,23.97,tecnico,3.0,0,0.58,5.0,neutral,activo,0,0
cust00053,masculino,34,india,delhi,sme,27,web,anual,15,4,14.96,4,0.01,30,20,540,paypal,0,0,0,1,14.67,otro tipo de queja,5.0,2,0.92,9.0,muy satisfecho,en riesgo,0,1
cust00054,femenino,34,alemania,berlin,individual,16,web,mensual,25,5,30.98,4,0.1,6,100,1600,paypal,0,0,0,0,19.74,sin queja,3.0,0,0.47,5.0,neutral,activo,0,0
cust00055,masculino,20,canada,toronto,individual,6,mobile,mensual,0,0,21.71,2,0.04,51,20,120,transferencia bancaria,3,0,0,1,35.65,facturacion,3.0,1,0.12,5.0,neutral,inactivo,1,0
cust00056,femenino,48,australia,sydney,sme,30,mobile,mensual,12,1,19.39,4,0.01,19,50,1500,tarjeta,1,1,0,1,28.66,facturacion,5.0,1,0.68,9.0,muy satisfecho,en riesgo,0,0
cust00057,femenino,68,us,new york,sme,29,web,trimestral,8,6,16.18,4,0.09,5,50,1450,paypal,0,0,0,2,30.97,servicio,4.0,0,0.86,8.0,satisfecho,activo,0,0
cust00058,masculino,18,alemania,berlin,individual,25,web,trimestral,19,3,22.34,5,0.14,12,10,250,paypal,0,1,0,2,23.5,servicio,4.0,0,0.87,6.0,satisfecho,en riesgo,0,1
cust00059,masculino,29,canada,toronto,individual,6,mobile,trimestral,1,5,15.54,5,-0.17,73,50,300,paypal,2,0,1,1,21.72,facturacion,2.0,0,0.11,3.0,insatisfecho,inactivo,1,1
cust00060,masculino,56,india,delhi,sme,5,web,trimestral,46,0,2.45,5,-0.08,1,50,250,tarjeta,0,0,0,1,35.94,servicio,3.0,1,0.62,5.0,neutral,activo,1,0
cust00061,masculino,21,alemania,berlin,individual,1,web,mensual,27,1,5.63,4,-0.22,3,10,10,transferencia bancaria,1,1,0,2,22.51,facturacion,3.0,0,0.59,5.0,neutral,activo,1,0
cust00062,masculino,59,uk,londres,sme,13,mobile,anual,17,6,11.16,3,0.01,10,20,260,paypal,0,1,0,2,33.27,servicio,4.0,0,0.98,7.0,satisfecho,en riesgo,0,0
cust00063,masculino,30,us,new york,individual,3,web,mensual,0,3,12.05,4,-0.06,86,20,60,tarjeta,0,1,0,1,36.29,tecnico,2.0,0,0.2,3.0,insatisfecho,inactivo,1,1
cust00064,masculino,51,australia,sydney,individual,43,web,anual,8,0,15.18,5,-0.12,17,10,430,tarjeta,1,0,0,3,33.17,facturacion,4.0,0,0.79,7.0,satisfecho,en riesgo,0,0
cust00065,masculino,59,uk,londres,individual,27,web,mensual,7,0,23.31,6,0.02,23,30,810,paypal,0,1,1,3,31.22,otro tipo de queja,4.0,1,0.96,7.0,satisfecho,en riesgo,0,1
cust00066,femenino,38,alemania,berlin,individual,21,mobile,mensual,20,5,17.73,4,-0.13,0,50,1050,transferencia bancaria,1,0,1,2,17.06,facturacion,3.0,0,0.45,5.0,neutral,activo,0,0
cust00067,femenino,39,canada,toronto,sme,5,referido,anual,1,2,16.25,7,0.09,40,20,100,tarjeta,1,1,0,1,12.2,facturacion,2.0,0,0.11,3.0,insatisfecho,inactivo,1,1
cust00068,masculino,74,us,new york,individual,33,referido,trimestral,15,5,7.28,6,0.01,17,20,660,paypal,0,0,0,1,28.54,servicio,5.0,0,0.9,9.0,muy satisfecho,en riesgo,0,0
cust00069,femenino,21,india,delhi,individual,21,mobile,trimestral,20,0,13.92,2,-0.02,18,50,1050,paypal,0,0,0,2,35.08,otro tipo de queja,5.0,0,0.94,9.0,muy satisfecho,en riesgo,0,0
cust00070,femenino,35,australia,sydney,enterprise,37,web,mensual,10,5,10.66,2,0.04,16,20,740,paypal,0,0,0,1,24.27,otro tipo de queja,4.0,0,0.98,7.0,satisfecho,en riesgo,0,0
cust00071,femenino,22,canada,toronto,individual,6,web,anual,0,5,7.84,4,0.1,76,10,60,tarjeta,1,0,1,1,18.64,facturacion,2.0,0,0.08,3.0,insatisfecho,inactivo,1,1
cust00072,femenino,36,australia,sydney,sme,28,web,anual,14,6,1.0,5,0.01,30,30,840,paypal,0,1,0,1,25.86,otro tipo de queja,4.0,0,0.99,7.0,satisfecho,en riesgo,0,1
cust00073,masculino,19,india,delhi,enterprise,30,mobile,mensual,39,5,6.72,5,-0.03,32,50,1500,tarjeta,1,1,0,1,31.37,facturacion,3.0,0,0.79,5.0,neutral,inactivo,0,0
cust00074,femenino,29,banglades,dhaka,enterprise,41,mobile,mensual,8,7,27.21,3,-0.01,5,30,1230,tarjeta,0,1,0,3,47.07,facturacion,5.0,0,0.98,9.0,muy satisfecho,activo,0,0
cust00075,masculino,34,us,new york,sme,13,mobile,trimestral,8,6,23.16,8,0.13,15,50,650,transferencia bancaria,0,1,0,1,33.49,facturacion,4.0,0,0.94,6.0,satisfecho,en riesgo,0,0
cust00076,femenino,27,alemania,berlin,individual,5,web,anual,0,1,9.03,4,-0.21,56,50,250,tarjeta,1,0,0,1,19.29,facturacion,2.0,1,0.13,3.0,insatisfecho,inactivo,1,1
cust00077,femenino,51,australia,sydney,enterprise,12,web,trimestral,7,2,11.62,9,0.01,10,70,840,paypal,0,0,0,1,25.0,otro tipo de queja,3.0,0,0.96,6.0,neutral,en riesgo,0,0
cust00078,femenino,23,us,new york,sme,45,web,anual,10,0,32.6,1,0.22,13,50,2250,transferencia bancaria,1,1,0,1,38.03,facturacion,5.0,1,0.88,9.0,muy satisfecho,en riesgo,0,0
cust00079,masculino,25,australia,sydney,sme,31,mobile,mensual,12,6,31.66,2,0.15,2,20,620,transferencia bancaria,0,1,0,1,20.81,tecnico,5.0,1,0.86,9.0,muy satisfecho,activo,0,0
cust00080,femenino,68,canada,toronto,individual,37,web,anual,10,2,16.51,1,0.06,24,20,740,transferencia bancaria,1,0,1,2,19.66,facturacion,5.0,0,0.86,9.0,muy satisfecho,en riesgo,0,0
cust00081,masculino,28,australia,sydney,enterprise,27,mobile,mensual,13,7,20.24,6,0.1,6,10,270,transferencia bancaria,1,1,1,3,26.2,facturacion,4.0,2,0.81,7.0,satisfecho,activo,0,0
cust00082,femenino,74,banglades,dhaka,sme,15,web,mensual,19,3,17.09,6,0.36,16,20,300,tarjeta,0,0,0,2,16.61,tecnico,3.0,1,0.94,6.0,neutral,en riesgo,0,0
cust00083,masculino,29,canada,toronto,sme,20,mobile,mensual,17,1,12.8,6,0.05,2,20,400,paypal,0,0,0,1,23.12,tecnico,3.0,0,0.94,5.0,neutral,activo,0,0
cust00084,femenino,26,canada,toronto,individual,23,web,trimestral,10,3,16.94,7,-0.05,28,50,1150,tarjeta,0,0,0,1,8.74,tecnico,4.0,1,0.98,7.0,satisfecho,en riesgo,0,0
cust00085,masculino,19,us,new york,individual,3,web,mensual,0,1,19.41,7,0.21,15,20,60,tarjeta,1,1,0,1,16.23,facturacion,3.0,1,0.13,5.0,neutral,en riesgo,1,0
cust00086,masculino,25,uk,londres,enterprise,31,web,anual,10,4,22.37,6,0.05,16,50,1550,tarjeta,0,0,0,1,25.45,tecnico,4.0,1,0.99,7.0,satisfecho,en riesgo,0,0
cust00087,femenino,28,india,delhi,individual,40,web,anual,17,3,17.3,3,-0.25,8,100,4000,tarjeta,0,0,0,2,25.61,otro tipo de queja,4.0,0,0.91,6.0,satisfecho,en riesgo,0,1
cust00088,masculino,70,australia,sydney,individual,25,web,trimestral,16,6,17.2,7,0.05,14,50,1250,transferencia bancaria,0,0,1,0,22.72,sin queja,4.0,0,0.86,7.0,satisfecho,en riesgo,0,0
cust00089,femenino,53,alemania,berlin,sme,26,referido,mensual,28,4,6.15,5,0.1,2,50,1300,tarjeta,0,0,0,3,30.8,otro tipo de queja,3.0,1,0.78,5.0,neutral,activo,0,0
cust00090,femenino,27,canada,toronto,individual,45,web,mensual,15,5,9.22,6,-0.12,30,30,1350,paypal,0,0,0,0,26.81,sin queja,5.0,0,0.97,8.0,muy satisfecho,en riesgo,0,0
cust00091,femenino,38,uk,londres,individual,2,web,mensual,0,2,2.32,5,0.32,34,20,40,tarjeta,0,0,0,2,23.63,servicio,2.0,0,0.4,3.0,insatisfecho,inactivo,1,1
cust00092,femenino,37,canada,toronto,individual,24,mobile,trimestral,27,3,18.31,8,-0.07,1,10,240,paypal,0,1,0,3,27.07,tecnico,3.0,0,0.36,5.0,neutral,activo,0,0
cust00093,femenino,65,uk,londres,individual,54,mobile,mensual,35,0,11.0,9,-0.06,7,30,1620,tarjeta,0,0,0,1,10.19,facturacion,3.0,0,0.82,5.0,neutral,activo,0,0
cust00094,femenino,25,uk,londres,individual,57,web,trimestral,16,5,13.61,5,0.16,0,20,1140,tarjeta,0,0,0,0,2.53,sin queja,3.0,0,0.68,5.0,neutral,activo,0,0
cust00095,femenino,53,alemania,berlin,individual,1,mobile,trimestral,1,1,15.6,6,0.11,52,30,30,tarjeta,0,0,0,3,30.23,servicio,2.0,0,0.2,3.0,insatisfecho,inactivo,1,1
cust00096,femenino,46,uk,londres,individual,12,mobile,trimestral,15,7,17.11,4,0.05,19,30,360,tarjeta,0,0,0,1,25.9,facturacion,4.0,0,1.0,7.0,satisfecho,en riesgo,0,0
cust00097,femenino,59,alemania,berlin,sme,24,web,mensual,17,7,1.67,1,0.09,23,30,720,paypal,0,0,0,1,19.23,tecnico,4.0,0,0.92,7.0,satisfecho,en riesgo,0,0
cust00098,femenino,29,us,new york,enterprise,46,mobile,trimestral,16,0,17.7,4,-0.03,26,20,920,paypal,0,1,0,1,8.94,otro tipo de queja,4.0,0,0.98,7.0,satisfecho,en riesgo,0,0
cust00099,femenino,31,canada,toronto,individual,42,web,mensual,18,6,12.24,4,-0.05,21,20,840,paypal,0,0,1,1,22.65,facturacion,5.0,0,0.89,9.0,muy satisfecho,en riesgo,0,0
cust00100,masculino,65,alemania,berlin,individual,41,web,mensual,9,0,21.16,3,-0.15,13,10,410,transferencia bancaria,0,0,1,1,27.74,tecnico,3.0,0,0.4,5.0,neutral,en riesgo,0,0
cust00101,masculino,71,india,delhi,individual,1,referido,anual,0,5,12.76,4,0.31,41,20,20,tarjeta,1,1,0,1,23.78,facturacion,1.0,0,0.06,1.0,muy insatisfecho,inactivo,1,1
cust00102,femenino,67,banglades,dhaka,sme,46,web,mensual,9,2,10.72,2,-0.18,35,50,2300,tarjeta,2,0,0,2,8.33,facturacion,3.0,0,0.27,5.0,neutral,inactivo,0,0
cust00103,femenino,38,canada,toronto,enterprise,28,web,anual,5,2,22.98,4,0.01,28,20,560,transferencia bancaria,0,0,1,1,32.52,facturacion,4.0,0,0.99,7.0,satisfecho,en riesgo,0,0
cust00104,femenino,39,banglades,dhaka,individual,38,referido,mensual,19,0,8.25,6,-0.18,4,20,760,tarjeta,0,1,0,1,18.7,otro tipo de queja,3.0,0,1.0,6.0,neutral,activo,0,1
cust00105,femenino,38,india,delhi,individual,36,mobile,mensual,8,5,11.41,5,-0.0,10,30,1080,transferencia bancaria,3,0,0,3,3.03,facturacion,3.0,0,0.15,5.0,neutral,en riesgo,0,0
cust00106,femenino,61,australia,sydney,sme,16,mobile,mensual,16,0,8.52,6,0.09,22,50,800,tarjeta,0,0,1,2,27.09,tecnico,3.0,0,0.95,6.0,neutral,en riesgo,0,0
cust00107,femenino,67,india,delhi,sme,18,mobile,anual,29,0,11.72,8,0.02,1,20,360,paypal,1,0,0,3,27.69,facturacion,3.0,0,0.88,5.0,neutral,activo,0,0
cust00108,femenino,47,us,new york,individual,36,mobile,anual,16,1,26.78,5,0.3,0,10,360,paypal,0,1,0,0,13.43,sin queja,3.0,0,0.66,5.0,neutral,activo,0,0
cust00109,femenino,56,australia,sydney,sme,10,mobile,mensual,44,2,6.52,3,0.08,13,10,100,tarjeta,2,0,0,2,14.21,facturacion,3.0,0,0.69,6.0,neutral,en riesgo,0,1
cust00110,masculino,37,australia,sydney,sme,36,web,mensual,30,3,13.22,7,0.02,1,50,1800,tarjeta,0,0,0,4,32.66,tecnico,3.0,0,0.33,5.0,neutral,activo,0,0
cust00111,femenino,41,uk,londres,enterprise,14,web,trimestral,17,2,20.51,2,0.12,1,30,420,paypal,0,1,0,0,25.75,sin queja,4.0,0,0.95,6.0,satisfecho,activo,0,0
cust00112,masculino,40,india,delhi,individual,34,web,anual,16,0,13.44,3,-0.05,10,20,680,tarjeta,1,0,0,1,30.73,facturacion,4.0,0,0.88,7.0,satisfecho,en riesgo,0,0
cust00113,femenino,24,uk,londres,enterprise,14,web,trimestral,14,6,17.74,3,-0.01,29,20,280,paypal,1,1,0,1,21.91,facturacion,4.0,0,0.86,7.0,satisfecho,en riesgo,0,0
cust00114,femenino,26,india,delhi,individual,50,web,anual,19,3,11.26,5,-0.17,10,10,500,paypal,0,0,0,0,28.13,sin queja,5.0,0,0.86,9.0,muy satisfecho,en riesgo,0,0
cust00115,masculino,18,australia,sydney,sme,27,mobile,mensual,14,5,14.25,5,0.16,13,50,1350,tarjeta,0,0,1,1,34.05,otro tipo de queja,4.0,0,0.9,7.0,satisfecho,en riesgo,0,0
cust00116,femenino,43,uk,londres,individual,38,web,trimestral,17,6,13.2,6,0.08,8,50,1900,transferencia bancaria,1,0,0,1,25.8,facturacion,4.0,1,0.66,7.0,satisfecho,en riesgo,0,0
cust00117,masculino,55,banglades,dhaka,individual,11,web,trimestral,14,7,13.7,6,0.14,26,70,770,paypal,0,0,0,0,21.93,sin queja,3.0,0,0.98,5.0,neutral,en riesgo,0,0
cust00118,femenino,55,canada,toronto,sme,18,mobile,mensual,12,5,23.22,3,0.23,13,20,360,tarjeta,0,0,0,1,21.37,tecnico,3.0,0,0.94,5.0,neutral,en riesgo,0,0
cust00119,femenino,71,india,delhi,individual,56,mobile,trimestral,10,3,10.76,7,0.03,21,10,560,tarjeta,0,0,0,0,34.81,sin queja,3.0,0,0.32,5.0,neutral,en riesgo,0,0
cust00120,masculino,61,india,delhi,individual,56,referido,anual,36,7,17.17,5,-0.03,3,20,1120,tarjeta,1,0,0,1,23.72,facturacion,3.0,0,0.82,5.0,neutral,activo,0,0
cust00121,femenino,39,uk,londres,individual,36,mobile,anual,16,3,21.72,2,0.07,16,20,720,tarjeta,0,0,0,3,23.74,tecnico,3.0,1,0.86,5.0,neutral,en riesgo,0,0
cust00122,masculino,61,india,delhi,individual,43,referido,mensual,5,2,18.86,1,0.01,16,30,1290,tarjeta,1,0,0,1,26.22,facturacion,4.0,0,0.9,7.0,satisfecho,en riesgo,0,0
cust00123,femenino,27,australia,sydney,individual,23,mobile,mensual,20,0,13.11,2,-0.08,17,10,230,tarjeta,0,0,0,4,26.87,otro tipo de queja,5.0,0,0.95,9.0,muy satisfecho,en riesgo,0,0
cust00124,masculino,72,uk,londres,enterprise,11,mobile,mensual,11,7,24.45,2,-0.03,3,20,220,tarjeta,1,0,1,3,12.36,facturacion,4.0,1,0.87,7.0,satisfecho,activo,0,1
cust00125,masculino,23,uk,londres,individual,3,referido,mensual,1,5,16.13,4,0.09,34,70,210,tarjeta,2,0,0,3,22.59,facturacion,3.0,0,0.08,4.0,neutral,inactivo,1,0
cust00126,femenino,34,alemania,berlin,individual,44,referido,anual,9,5,21.09,5,-0.1,2,50,2200,transferencia bancaria,1,0,0,2,29.45,facturacion,5.0,0,0.74,9.0,muy satisfecho,activo,0,0
cust00127,femenino,68,banglades,dhaka,individual,1,mobile,mensual,2,5,11.3,6,-0.24,86,10,10,tarjeta,0,1,0,0,32.51,sin queja,2.0,0,0.24,3.0,insatisfecho,inactivo,1,1
cust00128,masculino,67,banglades,dhaka,individual,55,mobile,trimestral,25,6,19.1,4,-0.2,0,10,550,tarjeta,2,0,0,3,21.75,facturacion,3.0,0,0.52,5.0,neutral,activo,0,1
cust00129,femenino,55,alemania,berlin,individual,50,web,mensual,10,0,19.71,6,0.09,2,30,1500,paypal,0,0,0,2,38.74,facturacion,3.0,0,0.59,5.0,neutral,activo,0,0
cust00130,femenino,41,australia,sydney,individual,4,referido,trimestral,1,6,9.64,6,0.0,70,70,280,paypal,1,0,0,2,29.95,facturacion,3.0,1,0.13,4.0,neutral,inactivo,1,0
cust00131,femenino,68,canada,toronto,individual,21,mobile,mensual,13,7,24.5,5,0.04,1,30,630,tarjeta,0,1,1,1,32.44,otro tipo de queja,3.0,0,0.97,6.0,neutral,activo,0,0
