cliente_id,genero,edad,pais,ciudad,segmento_cliente,es_mayor,tiene_pareja,tiene_dependientes,latitud,longitud,borough,codigo_postal,estado,fecha_registro,ingreso_mediano,densidad_poblacional,tipo_contrato,antiguedad,cargo_mensual,ingresos_totales,metodo_pago,canal_registro,errores_pago,descuento_aplicado,aumento_precio_3m,facturacion_sin_papel,servicio_telefono,lineas_multiples,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,nivel_riesgo,score_riesgo,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,dias_ultima_conexion,tickets_soporte,tiempo_resolucion,tipo_queja,escaladas,puntuacion_csat,puntuacion_nps,tasa_apertura_email,tasa_clics_marketing,respuesta_encuesta,referencias_hechas,cancelacion,fecha_ultimo_pago,intentos_cobro_fallidos,dias_mora,cambio_plan_reciente,downgrade_reciente,visitas_app_mensual,tiempo_sesion_promedio,features_nuevas_usadas,ultimo_contacto_soporte,competidores_area,ofertas_recibidas,precio_vs_mercado
0017-DINOC,Masculino,50.0,USA,New York,PYME,0,No,No,40.61683832131458,-73.94498007371938,MANHATTAN,10234,NY,2021-08-04,85000.0,28000.0,Dos años,54,84.82,4580.28,Tarjeta de crédito,Web,0,No,No,No,No,Sin servicio,DSL,Si,No,No,Si,Si,No,Low,0.0,107,6,78.55,9,-0.45,2.0,0,11.8,Ninguna,0,4.6,83.0,0.52,0.23,Satisfecho,0.0,0,2025-12-08,1,10,0,0,71,112.27,7,2025-09-24,7,0,Alto
0017-IUDMW,Femenino,35.0,USA,New York,Corporativo,0,Si,Si,40.674190330833696,-73.72829007180377,STATEN ISLAND,10311,NY,2020-02-11,82000.0,3200.0,Dos años,72,168.87,12158.64,Tarjeta de crédito,Web,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Low,0.0,110,4,87.39,6,17.57,3.0,2,3.8,Ninguna,0,4.5,77.0,0.42,0.2,Muy satisfecho,1.0,0,2025-12-20,1,0,0,0,62,73.78,5,2025-08-22,1,0,Competitivo
0018-NYROU,Femenino,46.0,USA,New York,Residencial,0,Si,No,40.69351792278727,-73.80004150417464,BRONX,10474,NY,2025-08-13,42000.0,13000.0,Mensual,5,108.63,543.15,Cheque electrónico,Web,0,No,No,Si,Si,No,Fibra óptica,No,No,No,No,No,No,Low,0.577,119,7,117.46,5,3.93,5.0,2,38.6,Precio,0,3.5,39.0,0.22,0.07,Muy satisfecho,1.0,0,2025-12-20,3,0,1,0,68,12.11,7,2025-11-02,8,3,Competitivo
0019-EFAEP,Femenino,44.0,USA,New York,Corporativo,0,No,No,40.52891878619594,-74.16663057122528,BROOKLYN,11217,NY,2020-02-11,63000.0,14000.0,Dos años,72,156.32,11255.04,Transferencia bancaria,Web,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,Low,0.09,76,4,106.4,5,-1.48,0.0,2,48.0,Ninguna,0,4.0,61.0,0.4,0.18,Sin Respuesta,1.0,0,2025-12-07,0,0,0,1,99,76.02,4,2025-08-26,5,0,Bajo
0019-GFNTW,Femenino,57.0,USA,New York,PYME,0,No,No,40.66544518452437,-73.75507182240952,MANHATTAN,10131,NY,2021-06-05,85000.0,28000.0,Dos años,115,62.77,7218.55,Transferencia bancaria,Web,0,No,No,No,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,Low,0.0,108,4,72.28,9,-3.47,9.0,0,7.1,Ninguna,0,4.9,99.0,0.61,0.26,Satisfecho,2.0,0,2025-11-08,1,0,0,0,42,16.16,3,2025-10-23,4,1,Competitivo
0020-INWCK,Femenino,62.0,USA,New York,Corporativo,0,Si,Si,40.67726568902946,-73.98315639991446,MANHATTAN,10178,NY,2020-03-12,85000.0,28000.0,Dos años,71,133.87,9504.77,Tarjeta de crédito,Web,0,No,No,Si,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,Low,0.026,94,5,90.0,8,20.51,7.0,1,41.0,Ninguna,0,4.8,82.0,0.54,0.23,Satisfecho,0.0,0,2025-11-25,1,5,0,0,93,20.96,9,2025-08-27,6,0,Competitivo
0020-JDNXP,Femenino,45.0,USA,New York,PYME,0,Si,Si,40.59152209192495,-74.10093905683411,BROOKLYN,11233,NY,2023-03-27,63000.0,14000.0,Un año,34,99.88,3395.92,Cheque por correo,Web,0,No,No,No,No,Sin servicio,DSL,Si,No,Si,Si,Si,Si,Low,0.312,78,7,48.64,8,9.15,7.0,2,10.2,Ninguna,0,3.5,61.0,0.44,0.18,Satisfecho,0.0,0,2025-11-21,1,0,0,0,59,27.0,2,2025-08-23,5,1,Competitivo
0021-IKXGC,Femenino,45.0,USA,New York,PYME,1,No,No,40.63590304501957,-73.97473584799525,QUEENS,11233,NY,2025-12-11,72000.0,8500.0,Mensual,1,115.8,115.8,Cheque electrónico,Web,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,No,No,Low,0.5489999999999999,96,5,78.97,7,10.11,3.0,3,29.0,Servicio,0,2.9,47.0,0.23,0.09,Sin Respuesta,0.0,0,2025-12-07,0,10,0,0,28,46.8,1,2025-11-17,1,1,Bajo
0022-TCJCI,Masculino,53.0,USA,New York,Residencial,1,No,No,40.58754705395587,-73.81145520439269,BROOKLYN,11216,NY,2022-05-01,63000.0,14000.0,Un año,45,62.99,2834.55,Tarjeta de crédito,Web,0,No,No,No,Si,No,DSL,Si,No,Si,No,No,Si,Low,0.4599999999999999,88,7,90.63,5,-3.16,0.0,4,37.3,Precio,0,1.4,10.0,0.28,0.09,Muy satisfecho,0.0,0,2025-12-28,0,5,1,1,85,73.06,8,2025-08-25,4,0,Competitivo
0023-HGHWL,Masculino,39.0,USA,New York,Residencial,1,No,No,40.83017263379629,-73.91855875257592,BROOKLYN,11224,NY,2025-12-11,63000.0,14000.0,Mensual,1,53.67,53.67,Cheque electrónico,Web,5,20%,No,Si,No,Sin servicio,DSL,No,No,No,No,No,No,Alto,10.0,37,2,35.02,1,-5.23,24.0,20,46.9,Red,5,2.4,10.0,0.11,0.04,Muy insatisfecho,0.0,1,2025-12-09,0,0,1,0,77,43.36,0,2025-11-23,8,3,Competitivo
0023-UYUPN,Femenino,72.0,USA,New York,Residencial,1,Si,No,40.74113606524688,-73.98147665217182,QUEENS,11385,NY,2021-12-02,72000.0,8500.0,Un año,50,17.77,888.5,Cheque electrónico,Web,0,No,Si,No,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.0,102,5,112.61,11,14.37,5.0,2,16.1,Ninguna,0,4.7,79.0,0.8,0.33,Neutral,1.0,0,2025-11-08,1,10,1,1,73,57.01,9,2025-07-29,7,0,Bajo
0023-XUOPT,Femenino,57.0,USA,New York,PYME,0,Si,No,40.71516370263715,-73.99279266955001,MANHATTAN,10094,NY,2024-12-16,85000.0,28000.0,Mensual,13,148.29,1927.77,Cheque electrónico,Web,3,No,No,No,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,Alto,9.5,39,3,19.91,1,-12.54,25.0,6,21.7,Red,3,1.5,15.0,0.13,0.06,No respondió,0.0,1,2025-12-29,3,15,0,0,10,10.44,1,2025-10-01,8,3,Alto
0027-KWYKW,Femenino,43.0,USA,New York,PYME,0,Si,Si,40.59222770984805,-73.9930111744147,BROOKLYN,11231,NY,2024-02-20,63000.0,14000.0,Mensual,23,148.04,3404.9199999999996,Cheque electrónico,Web,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,Si,No,Low,0.427,73,5,112.66,8,22.08,0.0,2,44.4,Red,0,3.2,35.0,0.3,0.09,Sin Respuesta,0.0,0,2025-12-07,0,5,0,0,34,76.27,5,2025-08-27,2,0,Competitivo
0030-FNXPP,Femenino,26.0,USA,New York,Residencial,0,No,No,40.11238533659802,-77.51958437167269,BROOKLYN,11232,NY,2025-10-12,63000.0,14000.0,Mensual,3,23.97,71.91,Cheque por correo,Web,2,No,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.477,96,5,94.61,9,18.5,7.0,3,42.0,Ninguna,0,3.9,37.0,0.47,0.22,Satisfecho,0.0,0,2025-11-17,0,15,0,0,22,80.56,5,2025-12-16,5,0,Bajo
0031-PVLZI,Femenino,24.0,USA,New York,Residencial,0,Si,Si,40.8708970496833,-73.87923488967775,BROOKLYN,11235,NY,2025-09-12,63000.0,14000.0,Mensual,4,28.83,115.32,Cheque por correo,Web,1,10%,Si,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Alto,9.0,37,3,12.72,4,1.04,29.0,8,44.9,Servicio,3,1.6,19.0,0.19,0.09,Insatisfecho,0.0,1,2025-12-01,0,0,0,0,71,16.43,0,2025-07-17,4,0,Bajo
0032-PGELS,Femenino,31.0,USA,New York,Residencial,0,Si,Si,40.86192536295423,-73.84331933588071,BRONX,10460,NY,2025-12-11,42000.0,13000.0,Mensual,1,42.21,42.21,Transferencia bancaria,Web,4,15%,No,No,No,Sin servicio,DSL,Si,No,No,No,No,No,Alto,9.0,14,3,23.31,4,-4.27,39.0,5,46.0,Red,2,2.1,18.0,0.27,0.11,Neutral,0.0,0,2025-11-23,1,5,0,0,20,95.29,7,2025-07-18,7,3,Competitivo
0036-IHMOT,Femenino,38.0,USA,New York,Corporativo,0,Si,Si,40.57213812979305,-74.11290346939353,MANHATTAN,10247,NY,2021-07-05,85000.0,28000.0,Un año,55,141.57,7786.349999999999,Transferencia bancaria,Web,0,No,No,Si,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Low,0.152,106,4,80.74,11,5.02,0.0,1,6.5,Ninguna,0,3.9,64.0,0.42,0.19,Satisfecho,1.0,0,2025-12-29,3,5,0,0,36,79.46,10,2025-10-29,7,0,Competitivo
0040-HALCW,Masculino,40.0,USA,New York,Residencial,0,Si,Si,40.74140709309592,-73.87994234286086,QUEENS,11295,NY,2021-08-04,72000.0,8500.0,Dos años,54,19.07,1029.78,Tarjeta de crédito,Web,0,No,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.328,101,6,71.44,10,14.21,8.0,1,20.2,Ninguna,0,4.0,65.0,0.2,0.08,Muy satisfecho,0.0,0,2025-12-10,1,0,1,0,27,61.32,3,2025-10-30,4,1,Bajo
0042-JVWOJ,Masculino,64.0,USA,New York,Residencial,0,No,No,40.5994116807878,-73.9512061924252,QUEENS,11020,NY,2023-11-22,72000.0,8500.0,Un año,26,27.43,713.18,Transferencia bancaria,Web,0,No,No,Si,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.0,68,6,53.7,5,1.76,7.0,2,39.6,Ninguna,0,4.7,84.0,0.45,0.18,Muy satisfecho,0.0,0,2025-11-28,0,10,0,0,94,68.58,6,2025-10-14,7,1,Competitivo
0042-RLHYP,Femenino,31.0,USA,New York,Residencial,0,Si,Si,40.11238533659802,-77.51958437167269,MANHATTAN,10117,NY,2020-05-11,85000.0,28000.0,Dos años,69,20.35,1404.15,Transferencia bancaria,Web,0,No,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.0,138,5,86.37,10,-0.89,0.0,2,23.3,Ninguna,0,4.4,82.0,0.74,0.24,Sin Respuesta,1.0,0,2025-12-19,0,30,1,0,57,62.85,9,2025-12-13,1,0,Competitivo
0048-LUMLS,Masculino,45.0,USA,New York,PYME,0,Si,Si,40.76965943864128,-73.93089307999601,MANHATTAN,10228,NY,2022-12-27,85000.0,28000.0,Un año,37,124.32,4599.84,Tarjeta de crédito,Web,1,No,No,No,Si,No,Fibra óptica,No,No,No,No,Si,Si,Low,0.441,70,5,54.88,6,11.15,3.0,4,45.7,Servicio,0,3.5,37.0,0.44,0.18,Satisfecho,0.0,0,2025-11-03,0,10,0,0,52,11.19,8,2025-07-27,6,3,Bajo
0048-PIHNL,Femenino,25.0,USA,New York,Residencial,0,Si,No,40.7585192921029,-73.84442527636939,MANHATTAN,10154,NY,2022-01-01,85000.0,28000.0,Un año,49,27.03,1324.47,Transferencia bancaria,Web,0,No,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.237,99,5,113.63,10,9.36,7.0,2,17.1,Ninguna,0,3.7,50.0,0.27,0.1,Sin Respuesta,0.0,0,2025-12-09,2,0,0,0,27,89.54,1,2025-10-21,7,0,Bajo
0052-DCKON,Masculino,55.0,USA,New York,Corporativo,0,Si,No,40.73872186035853,-73.86668214529286,BRONX,10474,NY,2020-08-09,42000.0,13000.0,Un año,66,146.75,9685.5,Transferencia bancaria,Web,2,No,No,No,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Low,0.0,78,7,109.89,7,-0.49,7.0,2,6.4,Ninguna,0,4.7,81.0,0.62,0.24,Muy satisfecho,1.0,0,2025-11-17,0,15,0,0,41,63.86,6,2025-12-07,8,3,Alto
0052-YNYOT,Femenino,30.0,USA,New York,Residencial,0,No,No,40.71370632094658,-73.99434031320517,STATEN ISLAND,10311,NY,2020-07-10,82000.0,3200.0,Un año,67,15.08,1010.36,Cheque electrónico,Web,0,10%,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.21,118,5,80.64,6,10.91,9.0,2,29.2,Ninguna,0,3.5,53.0,0.42,0.13,Satisfecho,0.0,0,2025-12-06,1,15,1,0,90,24.87,0,2025-11-23,8,1,Alto
0056-EPFBG,Masculino,54.0,USA,New York,PYME,0,Si,Si,40.66667747096941,-73.88202696923166,BRONX,10456,NY,2024-05-20,42000.0,13000.0,Dos años,20,84.53,1690.6,Tarjeta de crédito,Web,0,No,No,Si,No,Sin servicio,DSL,Si,No,Si,Si,No,No,Low,0.3379999999999999,40,6,50.08,11,11.39,1.0,1,7.5,Ninguna,0,3.4,65.0,0.37,0.15,Neutral,1.0,0,2025-11-12,0,10,1,0,84,83.28,2,2025-08-19,5,0,Competitivo
0057-QBUQH,Femenino,24.0,USA,New York,Residencial,0,No,Si,40.844369030800515,-73.93733562851502,BROOKLYN,11211,NY,2022-06-30,63000.0,14000.0,Dos años,43,25.94,1115.42,Cheque electrónico,Web,0,No,Si,Si,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.0,95,7,86.42,9,21.15,9.0,1,34.3,Ninguna,0,4.5,82.0,0.42,0.17,Muy satisfecho,2.0,0,2025-12-04,1,10,0,0,72,84.93,3,2025-08-05,6,0,Competitivo
0058-EVZWM,Femenino,53.0,USA,New York,PYME,0,Si,No,40.74697551760021,-73.89026847846661,MANHATTAN,10002,NY,2021-07-05,85000.0,28000.0,Mensual,55,131.76,7246.799999999999,Transferencia bancaria,Web,2,No,No,Si,Si,Si,Fibra óptica,Si,No,No,No,Si,No,Low,0.239,122,5,89.42,10,17.78,7.0,4,31.8,Ninguna,1,4.0,47.0,0.46,0.21,Neutral,0.0,0,2025-11-02,0,5,1,1,92,29.55,2,2025-07-14,8,3,Alto
0060-FUALY,Femenino,40.0,USA,New York,PYME,0,Si,No,40.768212117096155,-73.77952094257229,QUEENS,11641,NY,2021-03-07,72000.0,8500.0,Mensual,59,112.37,6629.83,Cheque electrónico,Web,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,Low,0.255,140,7,111.63,6,1.53,5.0,2,13.1,Red,0,3.8,60.0,0.37,0.16,No respondió,0.0,0,2025-11-19,1,15,0,1,60,96.6,7,2025-12-09,2,0,Bajo
0064-SUDOG,Femenino,42.0,USA,New York,Residencial,0,Si,Si,40.70818048028021,-73.83084375207508,BROOKLYN,11239,NY,2025-01-15,63000.0,14000.0,Dos años,12,27.95,335.4,Transferencia bancaria,Web,0,No,No,No,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.21,97,5,50.06,6,19.54,2.0,2,32.9,Ninguna,0,3.9,50.0,0.4,0.13,Sin Respuesta,0.0,0,2025-12-03,0,0,0,0,78,57.5,10,2025-07-23,3,0,Alto
0064-YIJGF,Masculino,56.0,USA,New York,PYME,0,Si,Si,40.71077845964728,-73.94515863358788,MANHATTAN,10141,NY,2023-10-23,85000.0,28000.0,Mensual,27,113.92,3075.84,Transferencia bancaria,Web,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,No,No,Low,0.2029999999999999,130,4,96.91,8,24.07,7.0,3,18.1,Ninguna,0,4.2,56.0,0.37,0.17,No respondió,1.0,0,2025-12-15,3,30,0,0,32,25.77,6,2025-11-15,1,2,Competitivo
0067-DKWBL,Masculino,44.0,USA,New York,Residencial,1,No,No,40.59608666065471,-74.07603173570513,BROOKLYN,11245,NY,2025-11-11,63000.0,14000.0,Mensual,2,48.27,96.54,Cheque electrónico,Web,1,10%,No,Si,Si,No,DSL,Si,No,No,No,No,No,Alto,9.0,25,3,29.7,1,-0.67,10.0,5,12.9,Red,2,2.0,22.0,0.16,0.08,Muy insatisfecho,0.0,1,2025-12-16,2,0,0,0,54,80.63,2,2025-09-17,7,0,Competitivo
0068-FIGTF,Femenino,57.0,USA,New York,PYME,0,No,No,40.6758594284048,-73.84347526766143,MANHATTAN,10061,NY,2023-10-23,85000.0,28000.0,Un año,27,88.56,2391.12,Cheque por correo,Web,1,No,No,No,Si,No,DSL,No,Si,Si,Si,Si,Si,Low,0.0,93,6,58.11,9,18.61,1.0,1,10.1,Ninguna,0,4.0,83.0,0.58,0.19,Satisfecho,1.0,0,2025-11-14,1,30,0,0,36,73.62,6,2025-07-14,6,3,Competitivo
0071-NDAFP,Masculino,39.0,USA,New York,Residencial,0,Si,Si,40.51005524980205,-74.24782208344305,BRONX,10461,NY,2023-12-22,42000.0,13000.0,Dos años,25,24.56,614.0,Tarjeta de crédito,Web,8,No,No,No,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Low,0.237,110,6,54.13,7,2.99,6.0,15,24.9,Ninguna,5,3.4,50.0,0.25,0.12,Satisfecho,0.0,0,2025-11-10,2,0,0,0,46,24.6,1,2025-07-05,4,0,Bajo
0074-HDKDG,Masculino,50.0,USA,New York,Residencial,0,Si,Si,40.535572687765864,-74.15247267563302,BROOKLYN,11211,NY,2023-12-22,63000.0,14000.0,Un año,25,62.18,1554.5,Transferencia bancaria,Web,0,No,No,Si,Si,No,DSL,Si,Si,Si,No,No,No,Low,0.261,82,4,97.05,11,24.76,7.0,2,36.7,Ninguna,0,3.1,65.0,0.46,0.22,Muy satisfecho,0.0,0,2025-11-17,1,30,1,0,35,105.32,10,2025-10-07,8,1,Competitivo
0076-LVEPS,Masculino,39.0,USA,New York,Residencial,0,No,Si,40.56462874563699,-74.14869870057498,QUEENS,11691,NY,2023-08-24,72000.0,8500.0,Mensual,29,58.0,1682.0,Cheque por correo,Web,0,No,No,Si,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,Low,0.0,136,6,70.49,11,0.29,0.0,1,8.9,Ninguna,0,5.0,80.0,0.4,0.16,Muy satisfecho,2.0,0,2025-11-06,0,0,1,0,27,103.27,10,2025-11-05,5,1,Competitivo
0078-XZMHT,Masculino,49.0,USA,New York,Corporativo,0,Si,No,40.76608767141117,-73.96566499762076,BROOKLYN,11228,NY,2020-02-11,63000.0,14000.0,Dos años,72,126.89,9136.08,Transferencia bancaria,Web,0,No,No,Si,Si,Si,DSL,No,Si,Si,Si,Si,Si,Low,0.196,93,6,120.0,11,17.53,0.0,2,6.8,Ninguna,0,3.3,65.0,0.29,0.14,Neutral,0.0,0,2025-11-09,0,0,0,0,9,101.17,2,2025-10-15,3,1,Competitivo
0080-EMYVY,Femenino,37.0,USA,New York,Residencial,0,No,No,40.70454377623595,-73.90186173156883,QUEENS,11126,NY,2024-11-16,72000.0,8500.0,Un año,14,52.34,732.76,Tarjeta de crédito,Web,0,No,Si,No,Si,No,DSL,No,Si,No,No,No,No,Low,0.3309999999999999,41,7,112.05,8,6.86,0.0,2,47.9,Ninguna,0,3.5,51.0,0.36,0.15,Neutral,1.0,0,2025-11-04,0,0,0,0,22,50.91,6,2025-11-19,6,1,Competitivo
0080-OROZO,Femenino,57.0,USA,New York,Corporativo,0,No,No,40.756192112317805,-73.99056478174674,QUEENS,11565,NY,2023-02-25,72000.0,8500.0,Un año,35,157.88,5525.8,Cheque electrónico,Web,0,No,No,Si,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Low,0.193,53,7,87.43,7,5.71,1.0,2,5.9,Ninguna,0,3.6,51.0,0.37,0.12,Sin Respuesta,1.0,0,2025-12-28,1,5,0,0,91,99.83,9,2025-12-18,8,2,Competitivo
0082-LDZUE,Masculino,41.0,USA,New York,Residencial,0,No,No,40.70300026294933,-73.8679654063348,MANHATTAN,10054,NY,2025-12-11,85000.0,28000.0,Mensual,1,40.79,40.79,Cheque por correo,Web,0,No,No,Si,Si,No,DSL,No,No,No,No,No,No,Low,0.849,145,5,93.13,11,3.55,7.0,2,21.8,Ninguna,0,3.5,47.0,0.26,0.08,No respondió,0.0,0,2025-11-24,0,10,1,0,97,102.15,4,2025-11-07,4,0,Competitivo
0082-OQIQY,Masculino,60.0,USA,New York,Corporativo,0,No,No,40.65807162354086,-73.9151935069124,STATEN ISLAND,10304,NY,2023-08-24,82000.0,3200.0,Mensual,29,175.94,5102.26,Cheque electrónico,Web,0,No,Si,Si,Si,No,Fibra óptica,No,No,No,Si,Si,Si,Low,0.0,42,6,56.92,5,8.23,6.0,2,2.8,Ninguna,0,4.5,80.0,0.79,0.32,Neutral,0.0,0,2025-11-10,0,10,0,0,4,119.6,8,2025-08-13,5,3,Competitivo
