ClienteID,FechaRegistro,Genero,EsMayor,TienePareja,TieneDependientes,Ciudad,Estado,Borough,CodigoPostal,Latitud,Longitud,IngresoMediano,DensidadPoblacional,ServicioTelefono,LineasMultiples,TipoInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturacionSinPapel,MetodoPago,Antiguedad,CargoMensual,SegmentoCliente,nivel_riesgo,score_riesgo,ratio_precio_ingreso,TipoDeQueja,TicketsSoporte,Escaladas,PuntuacionNPS,PuntuacionCSAT,TiempoResolucion,TasaAperturaEmail,TasaClicsMarketing,Cancelacion,tenure_group,income_bracket,has_queja,alto_tickets,servicios_premium_count,nps_categoria,csat_categoria,risk_flag,borough_risk,high_density_area,CustomerValueRatio,PriceIncomePercent,ServicioTelefono_Binary,LineasMultiples_Binary,SeguridadOnline_Binary,RespaldoOnline_Binary,ProteccionDispositivo_Binary,SoporteTecnico_Binary,StreamingTV_Binary,StreamingPeliculas_Binary,ServicesCount,EngagementScore,EstimatedLTV,AvgMonthlyValue,TenureGroup,PriceSegment,HighRisk_ContractTenure,MediumRisk_ContractTenure,IncomePriceMismatch,HighRiskSegment,Log_ChargesMonthly,Log_EstimatedLTV,Log_Tenure,Sqrt_Tenure,Sqrt_ServicesCount,Churn_Binary
0017-DINOC,2021-08-04,Masculino,0,No,No,New York,NY,MANHATTAN,10234,40.61683832131458,-73.94498007371938,85000,28000,No,Sin servicio,DSL,Si,No,No,Si,Si,No,Dos años,No,Tarjeta de crédito,54,45.2,PYME,Bajo,3.0,0.0063811764705882,,0,0,83.0,4.6,11.8,0.52,0.23,No,49+ meses,High,0,0,2,Promotor,Satisfecho,0,29.0176322418136,1,0.006381176470588236,0.6381176470588236,0,0,1,0,0,1,1,0,3,3.506493506493506,2440.8,44.37818181818182,48+_months,Standard,0,0,0,0,3.832979798087693,7.800490751234755,4.007333185232471,7.3484692283495345,1.7320508075688772,0
0017-IUDMW,2020-02-11,Femenino,0,Si,Si,New York,NY,STATEN ISLAND,10311,40.674190330833696,-73.72829007180377,82000,3200,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,72,116.8,Corporativo,Medio,4.0,0.0170926829268292,,2,0,77.0,4.5,3.8,0.42,0.2,No,49+ meses,High,0,0,4,Promotor,Satisfecho,0,26.58730158730159,0,0.017092682926829268,1.7092682926829268,1,1,1,1,1,1,1,1,8,4.889643463497453,8409.6,115.2,48+_months,Enterprise,0,0,0,0,4.768988271217486,9.037248094060683,4.290459441148391,8.48528137423857,2.8284271247461903,0
0018-NYROU,2025-08-13,Femenino,0,Si,No,New York,NY,BRONX,10474,40.69351792278727,-73.80004150417464,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,5,68.95,Residencial,Alto,12.0,0.0197,Precio,2,0,39.0,3.5,38.6,0.22,0.07,No,0-12 meses,Low,1,0,0,Promotor,Satisfecho,0,25.660569105691057,0,0.019700000000000002,1.9700000000000002,1,0,0,0,0,0,0,0,1,0.07147962830593281,344.75,57.458333333333336,0-12_months,Standard,0,0,0,0,4.24778070111149,5.845715970544868,1.791759469228055,2.23606797749979,1.0,0
0019-EFAEP,2020-02-11,Femenino,0,No,No,New York,NY,BROOKLYN,11217,40.52891878619594,-74.16663057122528,63000,14000,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,Dos años,Si,Transferencia bancaria,72,101.3,Corporativo,Medio,6.0,0.019295238095238,,2,0,61.0,4.0,48.0,0.4,0.18,No,49+ meses,Medium,0,0,3,Promotor,Satisfecho,0,26.39182522903453,1,0.019295238095238094,1.9295238095238094,1,1,1,1,1,0,1,0,6,4.222873900293255,7293.599999999999,99.91232876712328,48+_months,Enterprise,0,0,0,0,4.627909672957581,8.894889627376788,4.290459441148391,8.48528137423857,2.449489742783178,0
0019-GFNTW,2021-06-05,Femenino,0,No,No,New York,NY,MANHATTAN,10131,40.66544518452437,-73.75507182240952,85000,28000,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria,56,45.05,PYME,Bajo,2.0,0.00636,,0,0,99.0,4.9,7.1,0.61,0.26,No,49+ meses,High,0,0,4,Promotor,Satisfecho,0,29.0176322418136,1,0.00636,0.636,0,0,1,1,1,1,0,0,4,4.8642779587405,2522.7999999999997,44.25964912280701,48+_months,Standard,0,0,0,0,3.829727762701316,7.83352098121881,4.04305126783455,7.483314773547883,2.0,0
0020-INWCK,2020-03-12,Femenino,0,Si,Si,New York,NY,MANHATTAN,10178,40.67726568902946,-73.98315639991446,85000,28000,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,Dos años,Si,Tarjeta de crédito,71,95.75,Corporativo,Medio,6.0,0.0135176470588235,,1,0,82.0,4.8,41.0,0.54,0.23,No,49+ meses,High,0,0,2,Promotor,Satisfecho,0,29.0176322418136,1,0.01351764705882353,1.351764705882353,1,1,0,1,1,0,0,1,5,3.669250645994832,6798.25,94.42013888888889,48+_months,Enterprise,0,0,0,0,4.572130331909891,8.824567590963708,4.276666119016055,8.426149773176359,2.23606797749979,0
0020-JDNXP,2023-03-27,Femenino,0,Si,Si,New York,NY,BROOKLYN,11233,40.59152209192495,-74.10093905683411,63000,14000,No,Sin servicio,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque por correo,34,61.25,PYME,Medio,4.0,0.0116666666666666,,2,0,61.0,3.5,10.2,0.44,0.18,No,25-48 meses,Medium,0,0,3,Promotor,Satisfecho,0,26.39182522903453,1,0.011666666666666667,1.1666666666666667,0,0,1,0,1,1,1,1,5,2.7309236947791167,2082.5,59.5,24-48_months,Standard,0,0,0,0,4.131158535344817,7.641804450862508,3.5553480614894135,5.830951894845301,2.23606797749979,0
0021-IKXGC,2025-12-11,Femenino,1,No,No,New York,NY,QUEENS,11233,40.63590304501957,-73.97473584799525,72000,8500,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,72.1,PYME,Alto,12.0,0.0120166666666666,Servicio,3,0,47.0,2.9,29.0,0.23,0.09,No,0-12 meses,Medium,1,0,0,Promotor,Insatisfecho,0,24.60515378221114,0,0.012016666666666665,1.2016666666666664,1,1,0,0,0,0,0,0,2,0.02735978112175103,72.1,36.05,0-12_months,Premium,0,0,0,0,4.291828366755733,4.291828366755733,0.6931471805599453,1.0,1.4142135623730951,0
0022-TCJCI,2022-05-01,Masculino,1,No,No,New York,NY,BROOKLYN,11216,40.58754705395587,-73.81145520439269,63000,14000,Si,No,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito,45,62.7,Residencial,Medio,5.0,0.0119428571428571,Precio,4,0,10.0,1.4,37.3,0.28,0.09,No,25-48 meses,Medium,1,1,2,Promotor,Insatisfecho,0,26.39182522903453,1,0.011942857142857144,1.1942857142857144,1,0,1,0,1,0,0,1,4,2.82574568288854,2821.5,61.33695652173913,24-48_months,Standard,0,0,0,0,4.154184562578117,7.945378296023817,3.828641396489095,6.708203932499369,2.0,0
0023-HGHWL,2025-12-11,Masculino,1,No,No,New York,NY,BROOKLYN,11224,40.83017263379629,-73.91855875257592,63000,14000,No,Sin servicio,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,25.1,Residencial,Alto,10.0,0.0047809523809523,Red,6,0,10.0,2.4,46.9,0.11,0.04,Si,0-12 meses,Medium,1,1,0,Promotor,Insatisfecho,0,26.39182522903453,1,0.004780952380952381,0.47809523809523813,0,0,0,0,0,0,0,0,0,0.0,25.1,12.55,0-12_months,Budget,0,0,0,0,3.261935314328648,3.261935314328648,0.6931471805599453,1.0,0.0,1
0023-UYUPN,2021-12-02,Femenino,1,Si,No,New York,NY,QUEENS,11385,40.74113606524688,-73.98147665217182,72000,8500,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque electrónico,50,25.2,Residencial,Medio,5.0,0.0042,,2,0,79.0,4.7,16.1,0.8,0.33,No,49+ meses,Medium,0,0,0,Promotor,Satisfecho,0,24.60515378221114,0,0.0042,0.42,1,1,0,0,0,0,0,0,2,3.816793893129771,1260.0,24.705882352941178,48+_months,Budget,0,0,0,0,3.265759410767051,7.13966033596492,3.9318256327243257,7.0710678118654755,1.4142135623730951,0
0023-XUOPT,2024-12-16,Femenino,0,Si,No,New York,NY,MANHATTAN,10094,40.71516370263715,-73.99279266955001,85000,28000,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,Mensual,No,Cheque electrónico,13,94.1,PYME,Alto,9.5,0.0132847058823529,Red,6,3,15.0,1.5,21.7,0.13,0.06,Si,13-24 meses,High,1,1,2,Promotor,Insatisfecho,0,29.0176322418136,1,0.013284705882352942,1.328470588235294,1,1,0,1,1,0,1,0,5,0.683491062039958,1223.3,87.37857142857142,12-24_months,Enterprise,0,0,0,0,4.554928969551344,7.11012453107987,2.6390573296152584,3.605551275463989,2.23606797749979,1
0027-KWYKW,2024-02-20,Femenino,0,Si,Si,New York,NY,BROOKLYN,11231,40.59222770984805,-73.9930111744147,63000,14000,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,23,83.75,PYME,Alto,10.5,0.0159523809523809,Red,2,0,35.0,3.2,44.4,0.3,0.09,No,13-24 meses,Medium,1,0,0,Promotor,Satisfecho,0,26.39182522903453,1,0.015952380952380954,1.5952380952380953,1,1,0,0,0,0,1,0,3,0.8141592920353983,1926.25,80.26041666666667,12-24_months,Premium,0,0,0,0,4.43970574626056,7.563849395339371,3.1780538303479458,4.795831523312719,1.7320508075688772,0
0030-FNXPP,2025-10-12,Femenino,0,No,No,New York,NY,BROOKLYN,11232,40.11238533659802,-77.51958437167269,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,3,19.85,Residencial,Alto,9.0,0.0037809523809523,,3,0,37.0,3.9,42.0,0.47,0.22,No,0-12 meses,Medium,0,0,0,Promotor,Satisfecho,0,26.39182522903453,1,0.0037809523809523814,0.37809523809523815,1,0,0,0,0,0,0,0,1,0.14388489208633093,59.550000000000004,14.887500000000001,0-12_months,Budget,0,0,0,0,3.0373539482448106,4.1034694699991014,1.3862943611198906,1.7320508075688772,1.0,0
0031-PVLZI,2025-09-12,Femenino,0,Si,Si,New York,NY,BROOKLYN,11235,40.8708970496833,-73.87923488967775,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,4,20.35,Residencial,Alto,9.0,0.0038761904761904,Servicio,8,3,19.0,1.6,44.9,0.19,0.09,Si,0-12 meses,Medium,1,1,0,Promotor,Insatisfecho,0,26.39182522903453,1,0.0038761904761904767,0.38761904761904764,1,0,0,0,0,0,0,0,1,0.18735362997658078,81.4,16.28,0-12_months,Budget,0,0,0,0,3.0610517396746335,4.411585436915426,1.6094379124341003,2.0,1.0,1
0032-PGELS,2025-12-11,Femenino,0,Si,Si,New York,NY,BRONX,10460,40.86192536295423,-73.84331933588071,42000,13000,No,Sin servicio,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria,1,30.5,Residencial,Alto,9.0,0.0087142857142857,Red,5,2,18.0,2.1,46.0,0.27,0.11,Si,0-12 meses,Low,1,1,1,Promotor,Insatisfecho,0,25.660569105691057,0,0.008714285714285714,0.8714285714285714,0,0,1,0,0,0,0,0,1,0.031746031746031744,30.5,15.25,0-12_months,Budget,0,0,0,0,3.449987545831587,3.449987545831587,0.6931471805599453,1.0,1.0,1
0036-IHMOT,2021-07-05,Femenino,0,Si,Si,New York,NY,MANHATTAN,10247,40.57213812979305,-74.11290346939353,85000,28000,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,55,103.7,Corporativo,Medio,5.0,0.01464,,1,0,64.0,3.9,6.5,0.42,0.19,No,49+ meses,High,0,0,3,Promotor,Satisfecho,0,29.0176322418136,1,0.01464,1.464,1,0,0,1,1,1,1,1,6,3.151862464183381,5703.5,101.84821428571429,48+_months,Enterprise,0,0,0,0,4.651099117876491,8.649010616036424,4.02535169073515,7.416198487095663,2.449489742783178,0
0040-HALCW,2021-08-04,Masculino,0,Si,Si,New York,NY,QUEENS,11295,40.74140709309592,-73.87994234286086,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Tarjeta de crédito,54,20.4,Residencial,Medio,4.0,0.0034,,1,0,65.0,4.0,20.2,0.2,0.08,No,49+ meses,Medium,0,0,0,Promotor,Satisfecho,0,24.60515378221114,0,0.0034,0.33999999999999997,1,0,0,0,0,0,0,0,1,2.5233644859813085,1101.6,20.029090909090908,48+_months,Budget,0,0,0,0,3.0633909220278057,7.0054263061555835,4.007333185232471,7.3484692283495345,1.0,0
0042-JVWOJ,2023-11-22,Masculino,0,No,No,New York,NY,QUEENS,11020,40.5994116807878,-73.9512061924252,72000,8500,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,Si,Transferencia bancaria,26,19.6,Residencial,Medio,5.0,0.0032666666666666,,2,0,84.0,4.7,39.6,0.45,0.18,No,25-48 meses,Medium,0,0,0,Promotor,Satisfecho,0,24.60515378221114,0,0.003266666666666667,0.32666666666666666,1,0,0,0,0,0,0,0,1,1.262135922330097,509.6,18.874074074074073,24-48_months,Budget,0,0,0,0,3.0252910757955354,6.235586504807383,3.295836866004329,5.0990195135927845,1.0,0
0042-RLHYP,2020-05-11,Femenino,0,Si,Si,New York,NY,MANHATTAN,10117,40.11238533659802,-77.51958437167269,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,69,19.7,Residencial,Medio,4.0,0.0027811764705882,,2,0,82.0,4.4,23.3,0.74,0.24,No,49+ meses,High,0,0,0,Promotor,Satisfecho,0,29.0176322418136,1,0.0027811764705882353,0.2781176470588235,1,0,0,0,0,0,0,0,1,3.3333333333333335,1359.3,19.41857142857143,48+_months,Budget,0,0,0,0,3.0301337002713233,7.215460542639384,4.248495242049359,8.306623862918075,1.0,0
0048-LUMLS,2022-12-27,Masculino,0,Si,Si,New York,NY,MANHATTAN,10228,40.76965943864128,-73.93089307999601,85000,28000,Si,No,Fibra óptica,No,No,No,No,Si,Si,Un año,No,Tarjeta de crédito,37,91.2,PYME,Alto,8.0,0.012875294117647,Servicio,4,0,37.0,3.5,45.7,0.44,0.18,No,25-48 meses,High,1,1,0,Promotor,Satisfecho,0,29.0176322418136,1,0.01287529411764706,1.287529411764706,1,0,0,0,0,0,1,1,3,1.2039045553145336,3374.4,88.8,24-48_months,Enterprise,0,0,0,0,4.523960130562548,8.124269114802384,3.6375861597263857,6.082762530298219,1.7320508075688772,0
0048-PIHNL,2022-01-01,Femenino,0,Si,No,New York,NY,MANHATTAN,10154,40.7585192921029,-73.84442527636939,85000,28000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Transferencia bancaria,49,20.45,Residencial,Medio,5.0,0.0028870588235294,,2,0,50.0,3.7,17.1,0.27,0.1,No,49+ meses,High,0,0,0,Promotor,Satisfecho,0,29.0176322418136,1,0.002887058823529412,0.2887058823529412,1,0,0,0,0,0,0,0,1,2.2843822843822843,1002.05,20.041,48+_months,Budget,0,0,0,0,3.065724645374026,6.910800637168097,3.912023005428146,7.0,1.0,0
0052-DCKON,2020-08-09,Masculino,0,Si,No,New York,NY,BRONX,10474,40.73872186035853,-73.86668214529286,42000,13000,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,No,Transferencia bancaria,66,115.8,Corporativo,Medio,6.0,0.0330857142857142,,2,0,81.0,4.7,6.4,0.62,0.24,No,49+ meses,Low,0,0,4,Promotor,Satisfecho,0,25.660569105691057,0,0.03308571428571429,3.3085714285714287,1,1,1,1,1,1,1,1,8,4.52054794520548,7642.8,114.07164179104478,48+_months,Enterprise,0,0,1,0,4.760463070394127,8.941650140705994,4.204692619390966,8.12403840463596,2.8284271247461903,0
0052-YNYOT,2020-07-10,Femenino,0,No,No,New York,NY,STATEN ISLAND,10311,40.71370632094658,-73.99434031320517,82000,3200,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque electrónico,67,20.55,Residencial,Medio,5.0,0.0030073170731707,,2,0,53.0,3.5,29.2,0.42,0.13,No,49+ meses,High,0,0,0,Promotor,Satisfecho,0,26.58730158730159,0,0.003007317073170732,0.30073170731707316,1,0,0,0,0,0,0,0,1,3.109048723897912,1376.8500000000001,20.24779411764706,48+_months,Budget,0,0,0,0,3.070375816549757,7.228279592237901,4.219507705176107,8.18535277187245,1.0,0
0056-EPFBG,2024-05-20,Masculino,0,Si,Si,New York,NY,BRONX,10456,40.66667747096941,-73.88202696923166,42000,13000,No,Sin servicio,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de crédito,20,39.4,PYME,Medio,4.0,0.0112571428571428,,1,0,65.0,3.4,7.5,0.37,0.15,No,13-24 meses,Low,0,0,3,Promotor,Satisfecho,0,25.660569105691057,0,0.011257142857142856,1.1257142857142857,0,0,1,0,1,1,0,0,3,1.4851485148514851,788.0,37.523809523809526,12-24_months,Standard,0,0,0,0,3.6988297849671046,6.670766320845874,3.044522437723423,4.47213595499958,1.7320508075688772,0
0057-QBUQH,2022-06-30,Femenino,0,No,Si,New York,NY,BROOKLYN,11211,40.844369030800515,-73.93733562851502,63000,14000,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,Si,Cheque electrónico,43,25.1,Residencial,Medio,4.0,0.0047809523809523,,1,0,82.0,4.5,34.3,0.42,0.17,No,25-48 meses,Medium,0,0,0,Promotor,Satisfecho,0,26.39182522903453,1,0.004780952380952381,0.47809523809523813,1,1,0,0,0,0,0,0,2,3.2950191570881224,1079.3,24.529545454545453,24-48_months,Budget,0,0,0,0,3.261935314328648,6.984994059322939,3.784189633918261,6.557438524302,1.4142135623730951,0
0058-EVZWM,2021-07-05,Femenino,0,Si,No,New York,NY,MANHATTAN,10002,40.74697551760021,-73.89026847846661,85000,28000,Si,Si,Fibra óptica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,55,89.8,PYME,Alto,9.5,0.0126776470588235,,4,1,47.0,4.0,31.8,0.46,0.21,No,49+ meses,High,0,1,1,Promotor,Satisfecho,0,29.0176322418136,1,0.01267764705882353,1.267764705882353,1,1,1,0,0,0,1,0,4,2.4229074889867843,4939.0,88.19642857142857,48+_months,Enterprise,0,0,0,0,4.508659285607248,8.505120610181969,4.02535169073515,7.416198487095663,2.0,0
0060-FUALY,2021-03-07,Femenino,0,Si,No,New York,NY,QUEENS,11641,40.768212117096155,-73.77952094257229,72000,8500,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,Mensual,Si,Cheque electrónico,59,94.75,PYME,Alto,8.5,0.0157916666666666,Red,2,0,60.0,3.8,13.1,0.37,0.16,No,49+ meses,Medium,1,0,2,Promotor,Satisfecho,0,24.60515378221114,0,0.015791666666666666,1.5791666666666666,1,1,1,1,0,0,1,0,5,3.0809399477806787,5590.25,93.17083333333333,48+_months,Enterprise,0,0,0,0,4.561740628060756,8.628958154747059,4.0943445622221,7.681145747868608,2.23606797749979,0
0064-SUDOG,2025-01-15,Femenino,0,Si,Si,New York,NY,BROOKLYN,11239,40.70818048028021,-73.83084375207508,63000,14000,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dos años,No,Transferencia bancaria,12,20.3,Residencial,Medio,5.0,0.0038666666666666,,2,0,50.0,3.9,32.9,0.4,0.13,No,0-12 meses,Medium,0,0,0,Promotor,Satisfecho,0,26.39182522903453,1,0.0038666666666666667,0.38666666666666666,1,0,0,0,0,0,0,0,1,0.5633802816901409,243.60000000000002,18.73846153846154,0-12_months,Budget,0,0,0,0,3.0587070727153796,5.499624223253072,2.5649493574615367,3.4641016151377544,1.0,0
