CustomerID,City,State,Borough,ZipCode,Latitude,Longitude,MedianIncome,PopulationDensity,RegistrationDate,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,Churn
0111-KLBQG,New York,NY,QUEENS,11420,40.66771092852477,-73.80775726181999,69300,21460,2024-01-02,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,No
0112-QAWRZ,New York,NY,MANHATTAN,10035,40.80479353268688,-73.93839511980232,86553,74781,2024-12-16,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,No
0112-QWPNC,New York,NY,QUEENS,10031,40.82906456543704,-73.94851559726504,69300,21460,2025-12-05,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,Yes
0114-IGABW,New York,NY,MANHATTAN,10075,40.775304949862154,-73.95865581565562,86553,74781,2021-05-27,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,No
0114-PEGZZ,New York,NY,BRONX,10470,40.90045120427606,-73.85266614196944,40500,34920,2023-08-11,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,No
0114-RSRRW,New York,NY,BROOKLYN,11232,40.65250885041696,-74.00629959058342,62800,37137,2025-07-06,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,No
0115-TFERT,New York,NY,BRONX,10472,40.833102763185366,-73.86236260224103,40500,34920,2025-04-27,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes
0117-LFRMW,New York,NY,BRONX,10459,40.82986018396704,-73.89837416493836,40500,34920,2021-11-09,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,Yes
0118-JPNOY,New York,NY,BROOKLYN,11210,40.62790684159537,-73.94247797950396,62800,37137,2023-10-27,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,No
0121-SNYRK,New York,NY,QUEENS,11419,40.68432752274725,-73.82118353147453,69300,21460,2023-08-17,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,No
0122-OAHPZ,New York,NY,QUEENS,11377,40.73644571170359,-73.88929350198721,69300,21460,2021-07-03,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes
0123-CRBRT,New York,NY,BROOKLYN,11217,40.67936582350548,-73.98601129574304,62800,37137,2020-09-21,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,No
0125-LZQXK,New York,NY,BRONX,10469,40.87827689057935,-73.84432224767843,40500,34920,2025-06-25,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes
0128-MKWSG,New York,NY,STATEN ISLAND,10309,40.549487271683375,-74.22099516503543,82200,8618,2024-05-17,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,No
0129-KPTWJ,New York,NY,MANHATTAN,10002,40.71516379801624,-73.99452416034362,86553,74781,2024-12-02,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,No
0129-QMPDR,New York,NY,BROOKLYN,11221,40.69448920704106,-73.91886152509092,62800,37137,2023-10-30,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,No
0130-SXOUN,New York,NY,QUEENS,11368,40.757710156883206,-73.86442063871809,69300,21460,2022-05-14,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,No
0133-BMFZO,New York,NY,BRONX,10460,40.84293778369001,-73.88562857506945,40500,34920,2022-05-29,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,Yes
0134-XWXCE,New York,NY,MANHATTAN,10002,40.7146176840936,-73.99709256218759,86553,74781,2022-06-27,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,No
0135-NMXAP,New York,NY,BRONX,10457,40.83857686055128,-73.90091592393297,40500,34920,2024-03-22,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes
0136-IFMYD,New York,NY,STATEN ISLAND,10310,40.63707107869294,-74.11365827683547,82200,8618,2020-01-17,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,No
0137-OCGAB,New York,NY,QUEENS,11432,40.7051928548229,-73.7992743157105,69300,21460,2021-12-23,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,Yes
0137-UDEUO,New York,NY,BROOKLYN,11204,40.6096535037082,-73.98384335117079,62800,37137,2023-05-12,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,Yes
0139-IVFJG,New York,NY,BROOKLYN,11215,40.6673046018332,-73.9812448279944,62800,37137,2022-05-13,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,No
0141-YEAYS,New York,NY,QUEENS,11435,40.70164764831577,-73.80792628434388,69300,21460,2023-09-07,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,No
0142-GVYSN,New York,NY,MANHATTAN,10031,40.82537135031189,-73.95121032419539,86553,74781,2022-07-14,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3,511.25,No
0147-ESWWR,New York,NY,QUEENS,11375,40.71661572172223,-73.83694763705687,69300,21460,2022-08-22,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,No
0148-DCDOS,New York,NY,QUEENS,11373,40.73927346788762,-73.88437752501214,69300,21460,2025-03-20,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes
0151-ONTOV,New York,NY,BROOKLYN,11234,40.609935781046715,-73.92228135465105,62800,37137,2020-02-09,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,Yes
0156-FVPTA,New York,NY,QUEENS,11419,40.690038131641984,-73.82572249436176,69300,21460,2021-06-16,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes
0164-APGRB,New York,NY,QUEENS,11369,40.76499147280627,-73.8813871389988,69300,21460,2020-03-08,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,No
0164-XAIRP,New York,NY,QUEENS,11105,40.776711165679096,-73.91154012387348,69300,21460,2025-03-06,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,No
0168-XZKBB,New York,NY,STATEN ISLAND,10306,40.5733627726406,-74.11520569500736,82200,8618,2021-08-03,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,No
0174-QRVVY,New York,NY,MANHATTAN,10065,40.76186219930891,-73.96150868401745,86553,74781,2022-07-23,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,No
0177-PXBAT,New York,NY,MANHATTAN,10002,40.713637738037775,-73.99513029362018,86553,74781,2020-10-02,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,No
0178-CIIKR,New York,NY,MANHATTAN,10040,40.864009079245974,-73.92627946650808,86553,74781,2020-12-11,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,No
0178-SZBHO,New York,NY,QUEENS,11428,40.71904558387275,-73.73418945197602,69300,21460,2020-01-22,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,No
0181-RITDD,New York,NY,STATEN ISLAND,10302,40.618079946113035,-74.14307973763925,82200,8618,2021-01-23,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,No
0186-CAERR,New York,NY,QUEENS,11412,40.708154229982625,-73.76040460823349,69300,21460,2023-12-02,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,No
0187-QSXOE,New York,NY,BROOKLYN,11237,40.70194425321736,-73.9154045813853,62800,37137,2023-02-21,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,No
0187-WZNAB,New York,NY,MANHATTAN,10003,40.73521408143234,-73.99171521010928,86553,74781,2023-05-06,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,No
