cliente_id,genero,edad,pais,ciudad,segmento_de_cliente,meses_permanencia,canal_de_registro,tipo_contrato,conecciones_mensuales,dias_activos_semanales,promedio_coneccion,caracteristicas_usadas,tasa_crecimiento_uso,ultima_coneccion,cuota_mensual,ingresos_totales,metodo_de_pago,errores_de_pago,descuento_aplicado,aumento_ultimos_3_meses,tickets_de_soporte,tiempo_promedio_de_resolucion,tipo_de_queja,puntuacion_csates,escaladas,tasa_apertura_email,tasa_clics_marketing,puntuacion_nps,respuesta_de_la_encuesta,recuento_de_referencias,abandonar
CUST_00020,Masculino,40,UK,Sydney,Individual,11,Web,Mensual,22,1,10.63221144303896,2,-0.11,0,10,110,Tarjeta,0,0,0,4,15.011731251479317,Tecnico,3.0,1,0.21,0.2,61,Neutral,2,0
CUST_00021,Femenino,70,UK,Londres,Individual,5,Mobile,Trimestral,21,7,22.010395319376588,6,0.05,0,30,150,PayPal,1,0,0,0,32.14156915876213,No clasificada,3.0,0,0.32,0.3,-12,Neutral,1,0
CUST_00022,Masculino,54,USA,Londres,SME,48,Web,Mensual,32,6,14.493707850010871,2,-0.28,3,10,480,Transferencia Bancarias,2,0,1,0,18.325894230925428,No clasificada,5.0,2,0.81,0.36,25,Satisfecho,1,0
CUST_00023,Femenino,26,UK,Sydney,SME,55,Web,Trimestral,21,5,20.270804267021244,3,0.04,2,70,3850,Transferencia Bancarias,0,1,0,2,22.11248788096376,Tecnico,4.0,1,0.85,0.41,22,Satisfecho,0,0
CUST_00024,Femenino,32,UK,Toronto,Individual,29,Referral,Mensual,23,2,10.579038891079623,3,-0.04,16,30,870,Tarjeta,1,0,0,0,7.510576743122932,Tecnico,4.0,0,0.62,0.14,18,Satisfecho,0,0
CUST_00025,Femenino,20,UK,Dhaka,SME,28,Web,Mensual,29,1,27.014611022290183,3,0.13,11,50,1400,PayPal,1,0,0,1,22.870343209463652,Facturacion,2.0,0,0.57,0.44,-3,Satisfecho,0,0
CUST_00026,Femenino,46,Canada,New York,SME,23,Referral,Trimestral,3,2,18.530485715499985,5,-0.05,1,10,230,Tarjeta,1,0,0,3,28.12195843508985,Facturacion,3.0,1,0.83,0.5,44,Neutral,2,0
CUST_00027,Femenino,23,USA,Toronto,Enterprise,30,Referral,Trimestral,27,6,15.788155628849376,6,0.06,8,20,600,Transferencia Bancarias,1,1,0,3,13.018917488324975,No clasificada,1.0,1,0.67,0.28,4,Neutral,1,0
CUST_00028,Femenino,34,Alemania,New York,Individual,23,Referral,Mensual,33,2,6.510632970876996,5,-0.03,28,30,690,PayPal,0,0,0,0,28.82301279621892,Servicio,3.0,0,0.31,0.38,68,Insatisfecho,1,0
CUST_00029,Femenino,43,UK,Delhi,Individual,51,Referral,Mensual,27,6,22.60695942001968,4,-0.14,8,10,510,Tarjeta,1,0,0,0,29.16801122584152,Facturacion,4.0,1,0.23,0.04,34,Satisfecho,1,0
CUST_00030,Femenino,38,India,Sydney,SME,41,Mobile,Anual,23,3,7.405863696755413,4,0.04,6,10,410,Tarjeta,0,1,0,1,27.26873149783884,No clasificada,4.0,1,0.68,0.37,38,Neutral,0,0
CUST_00031,Masculino,25,Banglades,Berlin,Individual,22,Mobile,Mensual,28,7,30.52033151327268,5,0.03,16,70,1540,PayPal,0,0,0,1,24.020495392937654,No clasificada,5.0,0,0.58,0.48,-65,Neutral,1,0
CUST_00032,Masculino,38,Canada,New York,Individual,43,Referral,Trimestral,0,2,20.12920706749512,6,0.16,17,10,430,Tarjeta,1,0,0,1,8.215345852025811,Tecnico,3.0,1,0.85,0.37,1,Satisfecho,2,0
CUST_00033,Femenino,74,UK,Londres,SME,12,Web,Mensual,18,4,5.868476305884711,6,0.24,4,30,360,PayPal,0,0,0,1,19.83159490120358,Facturacion,4.0,1,0.11,0.17,-25,Satisfecho,1,0
CUST_00034,Femenino,28,Banglades,Delhi,Individual,27,Web,Trimestral,7,6,16.49188560465506,4,0.36,1,70,1890,Tarjeta,2,1,1,1,24.54622209579724,Tecnico,3.0,1,0.86,0.47,-36,Insatisfecho,1,0
CUST_00035,Femenino,55,Banglades,Londres,Individual,58,Mobile,Mensual,23,4,28.769626145819707,6,0.07,17,10,580,Tarjeta,0,0,0,1,24.774432124096364,No clasificada,2.0,0,0.6,0.18,59,Satisfecho,0,0
CUST_00036,Masculino,25,Canada,Delhi,Individual,59,Mobile,Mensual,9,2,14.90516155537365,5,0.08,14,70,4130,Tarjeta,1,0,0,0,23.51186036939556,Facturacion,3.0,0,0.52,0.09,74,Neutral,1,0
CUST_00037,Femenino,59,USA,Londres,SME,40,Mobile,Trimestral,28,5,12.492295115448368,5,0.06,11,20,800,Tarjeta,2,1,1,1,26.817294249167237,Facturacion,2.0,0,0.44,0.17,28,Neutral,0,1
CUST_00038,Masculino,41,India,Toronto,Individual,46,Mobile,Mensual,15,7,17.17599674334633,4,-0.1,6,70,3220,Tarjeta,1,0,1,2,16.19442675664146,Tecnico,5.0,0,0.28,0.31,-12,Satisfecho,0,0
CUST_00039,Masculino,52,India,Dhaka,SME,49,Mobile,Trimestral,7,5,9.71745806085167,4,-0.04,1,30,1470,Tarjeta,0,0,0,1,26.0109118945919,Servicio,5.0,0,0.59,0.44,-51,Satisfecho,1,0
CUST_00040,Masculino,72,India,Toronto,SME,52,Mobile,Mensual,10,5,24.339220025023657,3,0.09,15,10,520,Tarjeta,1,0,0,1,22.91113436382605,Facturacion,2.0,0,0.29,0.18,30,Satisfecho,1,0
CUST_00041,Masculino,31,UK,Toronto,Individual,15,Web,Mensual,6,7,9.006143751173141,6,0.2,2,30,450,Tarjeta,0,0,0,0,26.21135509228189,Tecnico,3.0,1,0.14,0.22,15,Neutral,1,0
CUST_00042,Masculino,72,Canada,Dhaka,Individual,47,Web,Trimestral,19,7,18.023546761673483,11,0.2,2,30,1410,Tarjeta,1,0,0,0,36.25818442735974,Facturacion,3.0,0,0.6,0.35,55,Insatisfecho,1,0
CUST_00043,Femenino,31,India,Delhi,Individual,23,Mobile,Mensual,26,0,23.754851640109614,5,-0.01,1,30,690,Tarjeta,0,0,1,2,18.490502640880678,Servicio,2.0,0,0.28,0.02,-5,Satisfecho,3,0
CUST_00044,Femenino,27,Banglades,Delhi,SME,44,Web,Mensual,13,4,15.393576161501317,3,-0.1,21,50,2200,Tarjeta,0,1,0,2,37.28779351559047,Servicio,3.0,0,0.15,0.43,-17,Satisfecho,0,0
CUST_00045,Femenino,29,Banglades,Dhaka,Individual,41,Referral,Mensual,5,1,24.03688813013394,7,0.24,6,100,4100,Tarjeta,0,0,0,0,42.10783620671764,Facturacion,4.0,0,0.56,0.08,9,Insatisfecho,5,0
CUST_00046,Femenino,55,Australia,Londres,Enterprise,44,Referral,Mensual,19,0,13.679665271423076,7,-0.07,1,20,880,PayPal,1,0,0,1,21.73458584857025,No clasificada,4.0,1,0.76,0.1,17,Insatisfecho,0,0
CUST_00047,Femenino,61,Australia,New York,Individual,19,Mobile,Mensual,19,1,7.115452536017008,3,-0.17,14,30,570,Tarjeta,1,1,0,2,25.33143315946949,No clasificada,4.0,0,0.58,0.24,87,Neutral,2,0
CUST_00048,Masculino,72,Canada,Delhi,Individual,44,Referral,Mensual,15,6,20.195862385117863,4,0.05,8,10,440,Tarjeta,1,0,0,0,30.04901318281916,Servicio,3.0,1,0.46,0.06,17,Insatisfecho,3,0
CUST_00049,Femenino,63,UK,Londres,Individual,11,Mobile,Mensual,12,2,17.357794918120742,6,-0.02,14,30,330,Tarjeta,2,0,0,1,26.745246493339533,No clasificada,2.0,1,0.72,0.37,-44,Insatisfecho,1,1
CUST_00050,Femenino,51,UK,New York,SME,38,Web,Anual,32,2,8.29113943673211,7,0.0,10,100,3800,Transferencia Bancarias,1,1,1,2,28.09561459854149,Tecnico,3.0,0,0.86,0.2,47,Insatisfecho,2,0
CUST_00051,Masculino,58,USA,Dhaka,Individual,40,Mobile,Mensual,14,7,14.39385549280083,2,-0.01,14,20,800,PayPal,1,0,1,0,6.585886462154875,Facturacion,5.0,0,0.47,0.26,-11,Satisfecho,2,0
CUST_00052,Femenino,27,USA,Toronto,Individual,43,Web,Anual,5,2,8.17725801847205,10,0.01,1,50,2150,Tarjeta,0,1,0,2,23.97144827973592,Tecnico,3.0,0,0.58,0.43,52,Satisfecho,0,0
CUST_00053,Masculino,34,India,Delhi,SME,3,Web,Anual,19,4,14.956605683514102,4,0.01,1,20,60,PayPal,0,0,0,1,14.665058613879632,No clasificada,5.0,2,0.37,0.02,36,Neutral,0,0
CUST_00054,Femenino,34,Alemania,Berlin,Individual,16,Web,Mensual,25,5,30.97642132313397,4,0.1,6,100,1600,PayPal,0,0,0,0,19.74267947652703,Tecnico,3.0,3,0.47,0.09,-22,Insatisfecho,1,0
CUST_00055,Masculino,20,Banglades,Toronto,Individual,32,Mobile,Mensual,24,0,21.712668188491957,2,0.04,15,20,640,Transferencia Bancarias,3,0,0,1,35.65475989048856,Tecnico,3.0,1,0.59,0.15,-3,Neutral,3,0
CUST_00056,Femenino,48,USA,Sydney,SME,38,Mobile,Mensual,4,1,19.38887853212307,4,0.01,10,50,1900,Tarjeta,1,1,0,1,28.65533318527303,Servicio,5.0,1,0.71,0.1,-61,Satisfecho,0,0
CUST_00057,Femenino,68,UK,New York,SME,9,Web,Trimestral,32,6,16.181186299618698,4,0.09,15,50,450,PayPal,0,0,0,2,30.974051105967675,Servicio,4.0,0,0.47,0.12,60,Insatisfecho,0,0
CUST_00058,Masculino,18,Banglades,Berlin,Individual,41,Web,Trimestral,22,3,22.34384180539017,5,0.14,4,10,410,PayPal,0,1,0,2,23.503369709326435,Servicio,4.0,0,0.1,0.18,28,Satisfecho,0,0
CUST_00059,Masculino,29,Alemania,Toronto,Individual,38,Mobile,Trimestral,25,5,15.542769834235148,5,-0.17,0,50,1900,PayPal,2,0,1,1,21.721395796459497,No clasificada,2.0,0,0.61,0.04,29,Insatisfecho,0,0
CUST_00060,Masculino,56,USA,Delhi,SME,5,Web,Trimestral,46,0,2.45188400733597,5,-0.08,1,50,250,Tarjeta,0,0,0,1,35.93881945559706,Servicio,3.0,1,0.62,0.45,59,Satisfecho,0,0
CUST_00061,Masculino,21,Canada,Berlin,Individual,1,Web,Mensual,27,1,5.626137004810996,4,-0.22,3,10,10,Transferencia Bancarias,1,1,0,2,22.506607114960165,Tecnico,3.0,0,0.59,0.4,-33,Satisfecho,0,0
CUST_00062,Masculino,59,Australia,Londres,SME,35,Mobile,Anual,25,6,11.15873803906122,3,0.01,25,20,700,PayPal,0,1,0,2,33.26707232654894,Servicio,4.0,0,0.88,0.37,39,Neutral,1,1
CUST_00063,Masculino,30,USA,New York,Individual,35,Web,Mensual,17,3,12.051570326421883,4,-0.06,13,20,700,Tarjeta,0,1,0,1,36.28579911694359,Tecnico,2.0,0,0.67,0.07,94,Satisfecho,0,0
CUST_00064,Masculino,51,USA,Sydney,Individual,12,Web,Anual,19,0,15.179540884293129,5,-0.12,9,10,120,Tarjeta,1,0,0,3,33.16694971327691,Tecnico,4.0,0,0.32,0.01,33,Satisfecho,1,0
CUST_00065,Masculino,59,Canada,Londres,Individual,36,Web,Mensual,7,0,23.3082550906363,6,0.02,23,30,1080,PayPal,0,1,1,3,31.224061964874053,No clasificada,4.0,1,0.48,0.05,67,Satisfecho,0,0
CUST_00066,Femenino,38,UK,Berlin,Individual,21,Mobile,Mensual,20,5,17.727144801829468,4,-0.13,0,50,1050,Transferencia Bancarias,1,0,1,2,17.062046825596674,Servicio,3.0,0,0.45,0.23,0,Insatisfecho,1,0
CUST_00067,Femenino,39,India,Toronto,SME,48,Referral,Anual,36,2,16.24636952831633,7,0.09,7,20,960,Tarjeta,1,1,0,1,12.20311733225302,Facturacion,2.0,0,0.65,0.27,-39,Satisfecho,0,0
CUST_00068,Masculino,74,Canada,New York,Individual,43,Referral,Trimestral,24,5,7.281570771729517,6,0.01,12,20,860,PayPal,0,0,0,1,28.53677351179713,Servicio,5.0,0,0.59,0.32,-2,Satisfecho,2,0
CUST_00069,Femenino,21,India,Delhi,Individual,8,Mobile,Trimestral,42,0,13.922269262212849,2,-0.02,0,50,400,PayPal,0,0,0,2,35.07518016065944,No clasificada,5.0,0,0.45,0.03,79,Satisfecho,1,0
CUST_00070,Femenino,35,USA,Sydney,Enterprise,27,Web,Mensual,25,5,10.657705746528642,2,0.04,12,20,540,PayPal,0,0,0,1,24.2726440000758,No clasificada,4.0,0,0.81,0.27,100,Neutral,2,0
CUST_00071,Femenino,22,UK,Toronto,Individual,9,Web,Anual,22,5,7.841616587790844,4,0.1,10,10,90,Tarjeta,1,0,1,1,18.636644507647823,Tecnico,2.0,0,0.13,0.09,-33,Neutral,2,0
CUST_00072,Femenino,36,Alemania,Sydney,SME,28,Web,Anual,18,6,1.0,5,0.01,9,30,840,PayPal,0,1,0,1,25.85601605427897,No clasificada,4.0,0,0.43,0.38,1,Satisfecho,1,0
CUST_00073,Masculino,19,USA,Delhi,Enterprise,30,Mobile,Mensual,39,5,6.7153173810162485,5,-0.03,32,50,1500,Tarjeta,1,1,0,1,31.371738338223714,Facturacion,3.0,0,0.79,0.04,53,Satisfecho,3,0
CUST_00074,Femenino,29,Canada,Dhaka,Enterprise,14,Mobile,Mensual,15,7,27.21491300956673,3,-0.01,2,30,420,Tarjeta,0,1,0,3,47.066245287046016,Facturacion,5.0,0,0.12,0.5,44,Neutral,2,0
CUST_00075,Masculino,34,Alemania,New York,SME,23,Mobile,Trimestral,12,6,23.158078444131448,8,0.13,35,50,1150,Transferencia Bancarias,0,1,0,1,33.49090483245683,Facturacion,4.0,0,0.83,0.25,26,Satisfecho,1,0
CUST_00076,Femenino,27,Australia,Berlin,Individual,29,Web,Anual,11,1,9.025624677591097,4,-0.21,25,50,1450,Tarjeta,1,0,0,0,19.291813740483427,Facturacion,2.0,1,0.47,0.42,1,Insatisfecho,0,0
CUST_00077,Femenino,51,Alemania,Sydney,Enterprise,26,Web,Trimestral,42,2,11.617056374949732,9,0.01,16,70,1820,PayPal,0,0,0,1,25.00014652177512,No clasificada,3.0,0,0.64,0.44,15,Neutral,3,0
CUST_00078,Femenino,23,Canada,New York,SME,22,Web,Anual,21,0,32.60016552142086,1,0.22,25,50,1100,Transferencia Bancarias,1,1,0,1,38.0296557615061,Facturacion,5.0,1,0.73,0.24,39,Neutral,1,0
CUST_00079,Masculino,25,Banglades,Sydney,SME,15,Mobile,Mensual,20,6,31.66039279647501,2,0.15,33,20,300,Transferencia Bancarias,0,1,0,1,20.81343047798432,Tecnico,5.0,1,0.58,0.03,-64,Insatisfecho,1,0
CUST_00080,Femenino,68,Alemania,Toronto,Individual,51,Web,Anual,25,2,16.508693873052273,1,0.06,8,20,1020,Transferencia Bancarias,1,0,1,2,19.660778628381163,Tecnico,5.0,0,0.15,0.17,-42,Satisfecho,1,0
CUST_00081,Masculino,28,Canada,Sydney,Enterprise,9,Mobile,Mensual,17,7,20.236770866722445,6,0.1,5,10,90,Transferencia Bancarias,1,1,1,3,26.19862826385773,Facturacion,4.0,2,0.54,0.43,1,Neutral,1,0
CUST_00082,Femenino,74,Banglades,Dhaka,SME,26,Web,Mensual,12,3,17.08881608166477,6,0.36,3,20,520,Tarjeta,0,0,0,2,16.607304116671422,Tecnico,3.0,1,0.19,0.45,10,Satisfecho,1,0
CUST_00083,Masculino,29,USA,Toronto,SME,17,Mobile,Mensual,11,1,12.80170590909252,6,0.05,2,20,340,PayPal,0,0,0,1,23.123570376440576,Tecnico,3.0,0,0.49,0.48,5,Satisfecho,3,0
CUST_00084,Femenino,26,Banglades,Toronto,Individual,9,Web,Trimestral,11,3,16.935084014882968,7,-0.05,7,50,450,Tarjeta,0,0,0,1,8.736811836497063,Tecnico,4.0,1,0.19,0.13,39,Neutral,2,0
CUST_00085,Masculino,19,UK,New York,Individual,3,Web,Mensual,0,1,19.412293070586703,7,0.21,15,20,60,Tarjeta,1,1,0,0,16.225823143501692,Tecnico,3.0,1,0.13,0.03,88,Satisfecho,0,0
CUST_00086,Masculino,25,Australia,Londres,Enterprise,57,Web,Anual,20,4,22.368647298708677,6,0.05,4,50,2850,Tarjeta,0,0,0,1,25.44715626778054,Tecnico,4.0,1,0.16,0.49,15,Satisfecho,1,0
CUST_00087,Femenino,28,Banglades,Delhi,Individual,16,Web,Anual,4,3,17.29903630165888,3,-0.25,17,100,1600,Tarjeta,0,0,0,2,25.60697898790763,No clasificada,4.0,0,0.29,0.37,22,Satisfecho,1,0
CUST_00088,Masculino,70,UK,Sydney,Individual,13,Web,Trimestral,25,6,17.196418338992782,7,0.05,6,50,650,Transferencia Bancarias,0,0,1,0,22.71849160008816,Facturacion,4.0,1,0.39,0.17,80,Satisfecho,2,0
CUST_00089,Femenino,53,UK,Berlin,SME,26,Referral,Mensual,28,4,6.145405880843796,5,0.1,2,50,1300,Tarjeta,0,0,0,3,30.796739985777144,No clasificada,3.0,1,0.78,0.43,-27,Satisfecho,0,0
CUST_00090,Femenino,27,UK,Toronto,Individual,17,Web,Mensual,13,5,9.222364270439003,6,-0.12,9,30,510,PayPal,0,0,0,0,26.81470176554447,Tecnico,5.0,0,0.13,0.05,61,Satisfecho,0,0
CUST_00091,Femenino,38,Banglades,Londres,Individual,32,Web,Mensual,23,2,2.3202353997671725,5,0.32,27,20,640,Tarjeta,0,0,0,2,23.628089126455563,Servicio,2.0,0,0.73,0.13,8,Satisfecho,0,0
CUST_00092,Femenino,37,Canada,Toronto,Individual,24,Mobile,Trimestral,27,3,18.31386576641149,8,-0.07,1,10,240,PayPal,0,1,0,3,27.0711804896054,Tecnico,3.0,0,0.16,0.13,-7,Satisfecho,0,0
CUST_00093,Femenino,65,Canada,Londres,Individual,54,Mobile,Mensual,35,0,11.002849942208208,9,-0.06,7,30,1620,Tarjeta,0,0,0,1,10.191430871482094,Facturacion,3.0,0,0.82,0.06,75,Insatisfecho,1,0
CUST_00094,Femenino,25,Australia,Londres,Individual,57,Web,Trimestral,16,5,13.60544438069796,5,0.16,0,20,1140,Tarjeta,0,0,0,0,2.5319324904463336,Servicio,3.0,0,0.68,0.49,35,Insatisfecho,2,0
CUST_00095,Femenino,53,Canada,Berlin,Individual,36,Mobile,Trimestral,5,1,15.602439897373792,6,0.11,14,30,1080,Tarjeta,0,0,0,3,30.23055931268139,Servicio,2.0,0,0.61,0.29,16,Neutral,1,0
CUST_00096,Femenino,46,India,Londres,Individual,53,Mobile,Trimestral,10,7,17.110946962047787,4,0.05,20,30,1590,Tarjeta,0,0,0,1,25.89525776295612,Facturacion,4.0,0,0.12,0.12,-13,Insatisfecho,2,0
CUST_00097,Femenino,59,Canada,Berlin,SME,22,Web,Mensual,3,7,1.6712679694356165,1,0.09,2,30,660,PayPal,0,0,0,1,19.232957694719587,Tecnico,4.0,0,0.63,0.48,-33,Satisfecho,0,1
CUST_00098,Femenino,29,Canada,New York,Enterprise,9,Mobile,Trimestral,24,0,17.70185946050415,4,-0.03,1,20,180,PayPal,0,1,0,1,8.936036829054027,No clasificada,4.0,0,0.29,0.12,-69,Insatisfecho,0,0
CUST_00099,Femenino,31,Canada,Toronto,Individual,22,Web,Mensual,0,6,12.237442367433712,4,-0.05,0,20,440,PayPal,0,0,1,1,22.648639723860573,Facturacion,5.0,0,0.77,0.46,24,Neutral,2,0
CUST_00100,Masculino,65,USA,Berlin,Individual,41,Web,Mensual,9,0,21.16452613975216,3,-0.15,13,10,410,Transferencia Bancarias,0,0,1,1,27.74311949020926,Tecnico,3.0,0,0.51,0.04,-4,Satisfecho,0,0
CUST_00101,Masculino,71,Australia,Delhi,Individual,50,Referral,Anual,20,5,12.76019920449449,4,0.31,0,20,1000,Tarjeta,1,1,0,0,23.78028914754693,Facturacion,1.0,0,0.14,0.19,-31,Satisfecho,0,1
CUST_00102,Femenino,67,India,Dhaka,SME,46,Web,Mensual,9,2,10.721935535974024,2,-0.18,35,50,2300,Tarjeta,2,0,0,2,8.327003405376962,Tecnico,3.0,0,0.27,0.12,35,Satisfecho,0,0
CUST_00103,Femenino,38,Canada,Toronto,Enterprise,20,Web,Anual,11,2,22.981659422951186,4,0.01,2,20,400,Transferencia Bancarias,0,0,1,1,32.521991650587324,Facturacion,4.0,0,0.75,0.08,-3,Neutral,0,0
CUST_00104,Femenino,39,Australia,Dhaka,Individual,3,Referral,Mensual,28,0,8.245176308779024,6,-0.18,9,20,60,Tarjeta,0,1,0,1,18.69521803861428,No clasificada,3.0,0,0.13,0.24,13,Satisfecho,2,0
CUST_00105,Femenino,38,Alemania,Delhi,Individual,36,Mobile,Mensual,8,5,11.40770453987805,5,-0.0,10,30,1080,Transferencia Bancarias,3,0,0,3,3.0338094477112847,Facturacion,3.0,0,0.15,0.18,-43,Insatisfecho,0,0
CUST_00106,Femenino,61,USA,Sydney,SME,33,Mobile,Mensual,15,0,8.517943200288022,6,0.09,1,50,1650,Tarjeta,0,0,1,2,27.090135667167104,Tecnico,3.0,0,0.73,0.07,12,Neutral,0,0
CUST_00107,Femenino,67,Banglades,Delhi,SME,18,Mobile,Anual,29,0,11.72491960056866,8,0.02,1,20,360,PayPal,1,0,0,3,27.68682332656912,Tecnico,3.0,0,0.88,0.33,-30,Satisfecho,0,0
CUST_00108,Femenino,47,Canada,New York,Individual,36,Mobile,Anual,16,1,26.77607403070441,5,0.3,0,10,360,PayPal,0,1,0,0,13.430040654587843,Tecnico,3.0,0,0.66,0.42,-44,Insatisfecho,2,0
CUST_00109,Femenino,56,India,Sydney,SME,10,Mobile,Mensual,44,2,6.519825501042268,3,0.08,13,10,100,Tarjeta,2,0,0,0,14.214393074417842,No clasificada,3.0,0,0.1,0.18,15,Satisfecho,1,1
CUST_00110,Masculino,37,USA,Sydney,SME,36,Web,Mensual,30,3,13.22112533529152,7,0.02,1,50,1800,Tarjeta,0,0,0,4,32.66325217718728,Tecnico,3.0,0,0.22,0.31,-2,Neutral,0,0
CUST_00111,Femenino,41,India,Londres,Enterprise,21,Web,Trimestral,31,2,20.5109603310948,2,0.12,3,30,630,PayPal,0,1,0,0,25.74917382028055,No clasificada,4.0,0,0.18,0.03,26,Insatisfecho,0,0
CUST_00112,Masculino,40,Banglades,Delhi,Individual,25,Web,Anual,6,0,13.435042705259086,3,-0.05,7,20,500,Tarjeta,1,0,0,0,30.733824922359037,No clasificada,4.0,0,0.26,0.23,37,Satisfecho,0,0
CUST_00113,Femenino,24,Banglades,Londres,Enterprise,49,Web,Trimestral,19,6,17.74061029792407,3,-0.01,14,20,980,PayPal,1,1,0,0,21.911491950828623,Tecnico,4.0,0,0.34,0.12,48,Satisfecho,0,0
CUST_00114,Femenino,26,USA,Delhi,Individual,40,Web,Anual,17,3,11.263428339928108,5,-0.17,3,10,400,PayPal,0,0,0,0,28.12920088927497,Tecnico,5.0,1,0.35,0.07,-65,Satisfecho,1,0
