Address Borough,Business Name,License Type,Latitude,Longitude
Bronx,3718 HENRY HUDSON PARKING LLC,Business,40.888359571301635,-73.91019082217106
Manhattan,"9TH AVE. DELI & GROCERY, INC.",Business,40.7551631107105,-73.9950009275456
Manhattan,Master Business Services Corp.,Business,40.85721693788356,-73.93237823337569
Staten Island,SKY AUTO SPA II CORPORATION,Business,40.53674927328197,-74.15110825374266
Queens,"BOGOPA LIC, INC.",Business,40.753075083500725,-73.92137805305671
Manhattan,ECOATM LLC,Business,40.75171797626467,-73.98837820876736
Brooklyn,LIVONIA GROCERY CORP.,Business,40.66646397586904,-73.88261129884128
Staten Island,"IMOBILE OF NY, LLC",Business,40.58229088205099,-74.16905699863874
Brooklyn,JPMP WIRELESS LLC,Business,40.690051468235644,-73.92368442820575
Manhattan,SP PLUS CORPORATION,Business,40.84706204129148,-73.938175252836
Manhattan,"ISMAIL, ADNAM K",Business,40.8496904272797,-73.9362607029006
Queens,"JIGME & PHUNTSOK OF NYC, INC.",Business,40.74716403096341,-73.89224951334751
Brooklyn,AMA SUPERIOR MARKET INC,Business,40.64922600672808,-73.9636457982606
Staten Island,EASY GRAB & GO CORP.,Business,40.62911237288672,-74.07958551961441
Manhattan,SP PLUS CORPORATION,Business,40.711350358344696,-74.01588551929983
Brooklyn,ECOATM LLC,Business,40.64679499594486,-73.95812644363545
Manhattan,"PANDYA, DIPAK",Business,40.752800875109386,-73.97928616628622
Queens,101 RX PHARAMACY INC,Business,40.68483552235137,-73.8439698042824
Queens,Best Wireless Metropolitan Avenue Inc,Business,40.71102340635603,-73.85446274291475
Manhattan,NYC JEWELRY AND WATCH BUYERS LLC,Business,40.758112369336,-73.98171738392668
Manhattan,NUR GROCERY TWO INC,Business,40.72225466606572,-73.98009295235428
Queens,MAIN STREET CONVENIENCE INC,Business,40.72984744337515,-73.82339219907408
Brooklyn,LADIES AUXILIARY OF YESHIVA BAIS ISSAC ZVI,Business,40.670063727418714,-73.9855770618578
Brooklyn,EMANUEL MINI MARKET CORP,Business,40.613881533077176,-73.99547253816829
Manhattan,INWOOD PARK GROCERY CORP,Business,40.86820260246147,-73.92154926021996
Manhattan,International Medical Equipment LLC,Business,40.76371877676414,-73.97574145656893
Staten Island,ECOATM LLC,Business,40.62524754714254,-74.14452166049198
Brooklyn,L STOP GOURMET DELI CORP.,Business,40.70762775314755,-73.94021260626926
Queens,M AUTO COLLISION AND REPAIR LLC,Business,40.75900745406336,-73.93628250704103
Brooklyn,US MOBIL SERVICE INC,Business,40.63600165837657,-73.9738458712789
Manhattan,"F. J. SCIAME CONSTRUCTION CO., INC.",Business,40.70734631986123,-74.01099728403673
Brooklyn,SUNRISE GROCERY CORP,Business,40.63937133577816,-74.01626473312574
Brooklyn,"LEZAMA, LANCE",Business,40.664813956378005,-73.90950055714252
Manhattan,CHAMPION PARKING 74 LLC.,Business,40.77976840490512,-73.98194613812201
Manhattan,FAIRFIELD RENOVATIONS CORP.,Business,40.79041498347454,-73.94603198567474
Queens,"SILVER STAR AUTO RESOURCES, LLC",Business,40.752653622495934,-73.92743496253836
Brooklyn,FIVE BORO RESTORATION GC CORP,Business,40.58365248374449,-73.9623422301357
Bronx,SP PLUS CORPORATION,Business,40.84067005288546,-73.87964394139102
Manhattan,"HEX EAST, LLC",Business,40.770480692768984,-73.95403405574395
Bronx,"CAMPBELL, LEBERT",Business,40.8612839044097,-73.90102308605971
Queens,"MOUNT EVEREST MARKET & DELI, INC",Business,40.70016105205616,-73.9059506991776
Staten Island,THE PRO TEAM INC,Business,40.55757983064668,-74.11273491676147
Manhattan,FOUR KANYA INC,Business,40.74000585562675,-73.98591195733462
Queens,SP PLUS CORPORATION,Business,40.735816416989366,-73.8653997616267
Queens,A.S. CANDY & GROCERY INC.,Business,40.705250695192845,-73.79471882165248
Bronx,2374 KING DELI & GROCERY  LLC,Business,40.860950163541865,-73.90232866353077
Brooklyn,SP PLUS CORPORATION,Business,40.63103829853603,-73.94748667237448
Staten Island,GOOD FRIEND LAUNDROMAT INC,Business,40.63227425545382,-74.13312321777185
Bronx,GUN HILL FUEL CORP,Business,40.872320878244615,-73.85053367959421
Queens,"LIC NEWSPAPER STORE, INC",Business,40.74240512645203,-73.94857173752693
Brooklyn,Best Wireless Graham Avenue Inc,Business,40.7024495016966,-73.94241005416572
Queens,BIG SIX DELI CORP,Business,40.74133284470868,-73.90310667137645
Queens,"URBAEZ, STALIN",Business,40.70015014369125,-73.90603726965931
Queens,KANOWA FOOD INC,Business,40.70412951137969,-73.91230367263299
Manhattan,SP PLUS CORPORATION,Business,40.11238533659802,-77.51958437167269
Manhattan,"PATEL, SURYA",Business,40.70638029595102,-74.00950391062128
Brooklyn,71 DELI & GRILL INC,Business,40.618822245760214,-73.99908507523914
Queens,S & S CONVENIENCE STORE NY CORP,Business,40.74537618967035,-73.90349416208333
Brooklyn,ANNA GALSTYAN,Business,40.62343281376904,-74.02808364673353
Manhattan,SP PLUS CORPORATION,Business,40.801984727411416,-73.96148909506633
Bronx,GREENLAND TROPICAL DELI & GROCERY INC.,Business,40.849867082970505,-73.91633697499526
Manhattan,RIMAR GOURMET DELI INC.,Business,40.81909671541169,-73.94466472430894
Manhattan,"YIM, IEK JAE",Business,40.77797186208834,-73.95602919881996
Queens,"E-Z STATION, INC.",Business,40.75294549071444,-73.93845389701008
Queens,LCNY CONSTRUCTION INC,Business,40.77719147145135,-73.81453249573478
Staten Island,3014 RAYYAN CORP,Business,40.57527128294534,-74.12232923427611
Bronx,NEILL GOURMET DELI LLC,Business,40.85312685309395,-73.85676889546612
Manhattan,"BATTERY PLACE CAR PARK, LLC",Business,40.70628322913576,-74.01790411531843
Manhattan,JBOFAMERICA LLC,Business,40.75700309561677,-73.97936787890136
Queens,PRIZE PARAGON 2 INC,Business,40.75376821012182,-73.80481631495475
Manhattan,76 MADISON GROCERY CORP,Business,40.712128160609446,-73.99623778613015
Manhattan,69 ENTERPRISE PARKING LLC,Business,40.76731851558099,-73.96082322207336
Queens,JMCJC LTD,Business,40.75823274178157,-73.91047817250097
Brooklyn,UNCLE & COUSINS DELI GROCERY CORP,Business,40.63397520269555,-73.88940944971365
Manhattan,"TCC WIRELESS, INC.",Business,40.80015914885864,-73.94684037039517
Brooklyn,GREG'S CONSTRUCTION CO,Business,40.64298780408061,-73.93428172211199
Brooklyn,456 PARKING LLC,Business,40.711226412656714,-73.9525924157633
Bronx,"120 CIRCLE DELI GROCERY, INC",Business,40.832915102059815,-73.86151016643578
Brooklyn,ECOATM LLC,Business,40.64136193441352,-73.94857034264163
Staten Island,ECOATM LLC,Business,40.62706984498879,-74.16508877211164
Manhattan,SP PLUS CORPORATION,Business,40.73646300153797,-73.99255581798758
Manhattan,"PANDYA, RAJESHWARI D",Business,40.762065087874134,-73.9836294996616
Staten Island,"THE PACOS DELI AND GROCERY, CORP",Business,40.509452602220776,-74.24725884432806
Bronx,PEGHE'S DELI & GROCERY INC.,Business,40.852639799650426,-73.82775808825114
Manhattan,NEIGHBORHOOD DELI & GROCERY NY INC.,Business,40.72056196123128,-73.98552645046023
Queens,74TH ST GOURMET DELI THREE CORP,Business,40.71276458213765,-73.87903443257981
Manhattan,"MORONTA, LINO",Business,40.8408030583848,-73.93624753354136
Brooklyn,CREEK FOOD MARKET INC,Business,40.66797967835056,-73.86096946981836
Queens,NY Tex Care Inc.,Business,40.74242179002058,-73.93783569613355
Brooklyn,ALL CITY IRON WORKS LLC,Business,40.677354025512194,-73.98704641799725
Brooklyn,"7-ELEVEN, INC.",Business,40.62067950825723,-74.02920636421707
Queens,RINCON GUATEMALTECO INC,Business,40.70801048765576,-73.8017221265607
Manhattan,ECOATM LLC,Business,40.7161492098808,-73.9955124866649
Brooklyn,FULTON DELI AND SMOKE SHOP CORP,Business,40.68015503534684,-73.9450684449953
Brooklyn,STRUZZO LLC,Business,40.69188382162768,-73.94031326799151
Manhattan,FAMILY COMMUNITY DELI & LUNCHEONETTE CORP,Business,40.81366240227156,-73.95126225932395
Queens,BEACH 116 DELI & GROCERY CORP,Business,40.58006037261243,-73.83735301512489
Manhattan,Gold of Harlem,Business,40.80949518969056,-73.94957832675914
Queens,KING COIN LAUNDROMAT INC.,Business,40.73837835804663,-73.92772475794126
Queens,"TCC WIRELESS, INC.",Business,40.75554511529028,-73.73883357650101
Brooklyn,NEALTICAN DELI GROCERY CORP.,Business,40.7077854493441,-73.92373986983549
Bronx,"BEARD PLUS VAPE, INC.",Business,40.83784612669184,-73.84542152931212
Brooklyn,STOP ONE EXPRESS DELI INC,Business,40.67811947992193,-73.90804039298988
Queens,SP PLUS CORPORATION,Business,40.77086021890817,-73.83495552436182
Manhattan,SUPERIOR GOURMET MARKET PLATE INC.,Business,40.75633795026235,-73.9978559556608
Brooklyn,SNAGGER INC,Business,40.59776858869535,-73.96113515897692
Bronx,239 INTERNATIONAL DELI DISCOUNT CORP,Business,40.85435310828371,-73.9005309393698
Manhattan,"HUANG, HAN SONG",Business,40.77090115600217,-73.95535152213405
Manhattan,10TH STREET FOOD CORP,Business,40.726044787778854,-73.97795957397751
Manhattan,"TRAVEL TRADERS HOTEL STORES, INC.",Business,40.75691646401178,-73.97204416177084
Queens,MICHAEL'S RESTAURANT EQUIPMENT INC.,Business,40.75804223795605,-73.85756894358992
Manhattan,901 COLUMBUS DELI CORP,Business,40.798011099747235,-73.96376319227629
Queens,"GLOBAL PAWN SHOP, INC",Business,40.70804981504808,-73.78246478279932
Queens,MOMTA GROCERY INC.,Business,40.74256943292526,-73.95417601013015
Manhattan,LEBRON 2015 EQUIPMENT SUPPLY CORP,Business,40.86248562654098,-73.91793350878963
Brooklyn,BROOKLYN QUEENS HVAC LLC,Business,40.63916313092072,-73.88142343979987
Brooklyn,International food court inc,Business,40.5770682351023,-73.96400545689347
Queens,T.J. CELLULAR TECHNOLOGY INC,Business,40.71318087274483,-73.78158592176045
Manhattan,SP PLUS CORPORATION,Business,40.76191336988628,-73.97896566956
Manhattan,55 W 46TH STREET GARAGE LLC,Business,40.75727220014448,-73.98004639150709
Manhattan,INWOOD AUTO SERVICE CORP.,Business,40.86710832517187,-73.92281959733866
Bronx,ELDER AVENUE #2 GROCERY CORP.,Business,40.82907599565441,-73.87927466055886
Brooklyn,SP PLUS CORPORATION,Business,40.66248778316454,-73.98296188812095
Manhattan,SP PLUS CORPORATION,Business,40.7248554104194,-73.99222880505457
Queens,PARKING SYSTEMS PLUS INC,Business,40.7470268288383,-73.88381550056246
Manhattan,MARK TWAIN GARAGE CORP,Business,40.736207966594336,-73.9982354866375
Manhattan,SP PLUS CORPORATION,Business,40.7600178856856,-73.98653581270592
Queens,PME HOME IMPROVEMENT LLC,Business,40.68024533099359,-73.77963511152764
Queens,NYC FOOD MART INC,Business,40.74966303780877,-73.88505966660917
Brooklyn,PRESIDENT FOOD CORP.,Business,40.68361553250527,-74.00337480968061
Manhattan,"SECOND AVENUE DELI MARKET, INC.",Business,40.72658984697322,-73.98914024809142
Bronx,LOS MOROCHOS GROCERY STORE INC,Business,40.85165586715717,-73.9081185651524
Queens,LIC ORGANIC GOURMET DELI INC,Business,40.74587855500664,-73.94547258893536
Queens,"ABBAS KAZMI, FNU",Business,40.70093907512467,-73.81779574003528
Manhattan,"TCC WIRELESS, INC.",Business,40.80247682307909,-73.94933802677194
Staten Island,ECOATM LLC,Business,40.62688228922977,-74.16380581556791
Brooklyn,SP PLUS CORPORATION,Business,40.68071055288354,-73.97041040913638
Queens,Peanut Cleaners Inc.,Business,40.7315672235012,-73.9213998215094
Brooklyn,PENN GAS & LUBE INC,Business,40.65313654797062,-73.8865774396821
Brooklyn,"LOS BROTHER GROCERY, CORP.",Business,40.65969116896318,-73.94762270468097
Queens,"CHATRASALA, AMARNATH R",Business,40.68515349508762,-73.83010531563617
Bronx,"NOMIS CONSTRUCTION,LLC",Business,40.8709685034693,-73.88747138786468
Bronx,"MACY'S BACKSTAGE, INC.",Business,40.8615879453558,-73.89118924292407
Bronx,SUBHANS INTERNATIONAL INC,Business,40.86202193486524,-73.89449647827367
Manhattan,FLEUR GARAGE CORP.,Business,40.73913662855311,-73.99924941735831
Manhattan,N-News LLC,Business,40.71325594707911,-74.00925599630611
Queens,COSTCO WHOLESALE CORPORATION,Business,40.733435269439134,-73.86417054458532
Brooklyn,Xiang He INC,Business,40.60155454278844,-73.9931542435053
Manhattan,"PATEL, ALKA",Business,40.71375527141754,-74.0116981375378
Bronx,"BEST ELECTRONICS SOLUTIONS, INC",Business,40.83244660221375,-73.8511725289481
Brooklyn,BOLLA OPERATING CORP.,Business,40.59029551093588,-73.97455507368646
Staten Island,843 FOREST FOODS & BAGELS INC.,Business,40.6289372073898,-74.117441580955
Queens,E.T. FRESH FOOD USA INC.,Business,40.745854354356986,-73.9009419513164
Queens,M.F.V.S. INCORPORATED,Business,40.66429801740357,-73.76839839624587
Queens,Kemet Industries Inc,Business,40.69545232217801,-73.72983343547617
Queens,S & M GROCERY CORP,Business,40.74833485294691,-73.87734215326783
Manhattan,MOTORINO 3 INC,Business,40.78551685027273,-73.97289520236131
Brooklyn,"J.G.L. FINE FOODS, INC.",Business,40.65210027646288,-73.97592980072676
Manhattan,BRAVO AT 2301 DELI CORP,Business,40.81540181464661,-73.94361649894742
Manhattan,"SUNFLOWER FOOD MARKET #2, INC.",Business,40.760753085757045,-73.98352513961923
Queens,MY COMMERCIAL KITCHEN RESTAURANT EQUIPMENT INC,Business,40.757566921247374,-73.86633400401489
Brooklyn,"LEONARDO, FERMIN",Business,40.67461509917952,-73.90551445787003
Brooklyn,BIEN JEWELRY CORP.,Business,40.64724424345876,-74.00810810092442
Queens,MR.JOE ZOU INC.,Business,40.78467565805412,-73.85197262948425
Manhattan,FINE ART RENOVATION INC,Business,40.744521145911534,-73.98742672460722
Bronx,LA FINQUITA FRUITS AND VEGETABLE MARKET INC.,Business,40.817769561571055,-73.91899302020269
Manhattan,"MUKHATIYAR, ANIL M",Business,40.76718457129881,-73.96246950211095
Queens,NYC GSM LLC,Business,40.71450663277113,-73.90111479296122
Queens,BIPI ELIOT NY INC,Business,40.714024623456055,-73.90236721100717
Queens,ECOATM LLC,Business,40.786273241129855,-73.83586704512547
Manhattan,"BATTERY 17 PARKING, LLC",Business,40.70488368980268,-74.01592725890914
Brooklyn,NEW JASON DISCOUNT INC.,Business,40.64437020502127,-74.01109500775551
Staten Island,EXOTIC SMOKES AND VAPE CORP.,Business,40.59749419474449,-74.06815453286526
Brooklyn,YONI ELECTRONICS INC.,Business,40.63308956854833,-73.9952082280199
Queens,"HARSNALLIE, CHRISTY",Business,40.70654116219774,-73.79189792443901
Manhattan,NEW TEAM CLEANERS INC.,Business,40.77788371313537,-73.94862738211494
Queens,"WILLIAM, STANILUS",Business,40.70738379046594,-73.77162111870447
Brooklyn,FAMILY 1 DELI INC,Business,40.61453700955034,-73.92795609312111
Manhattan,LUREI TRADING INC.,Business,40.7159516617749,-73.99828291799383
Brooklyn,"Y&B LOCKSMITH, INC.",Business,40.664313766345266,-73.94268087802267
Manhattan,"RAYAN CONVENIENCE, INC.",Business,40.73986670048486,-74.00281832435869
Bronx,CELL TECHNOLOGY AND REPAIR LLC,Business,40.86722247349998,-73.89679493135513
Brooklyn,RANDY MEAT SUPERMARKET CORP.,Business,40.674419849712706,-73.87876870895501
Manhattan,"CHEN, LI QUN",Business,40.71445287238963,-73.99387852385759
Manhattan,SMQ CANDY GROCERY CORP,Business,40.802164418613806,-73.93902242696387
Queens,"LEO BRUNO RESTAURANT, INC.",Business,40.774773984882664,-73.90879510407053
Queens,C & A DELI GROCERY CORP,Business,40.73902892395186,-73.91953621613821
Queens,CORONA AUTOMOTIVE CORP,Business,40.75959381195228,-73.84540821044769
Brooklyn,ANTONIO GEORGE CRUZ,Business,40.6263597050856,-74.02390600969515
Brooklyn,KATALZ ENTERPRISES INC,Business,40.59895540464866,-73.99791142335505
Brooklyn,"Redrose Construction, LLC",Business,40.677214904732274,-73.9386896261658
Brooklyn,Lo-Fi Builders LLC,Business,40.71060149059335,-73.95478953911605
Queens,N R APPLIANCE INC.,Business,40.708881087438776,-73.77794617629256
Bronx,"BIG G'S AUTO SALES, INC.",Business,40.87915087367988,-73.8431594089731
Bronx,JEROME MEAT & PRODUCE CORPORATION,Business,40.88124562334461,-73.88294448389138
Brooklyn,THE CORNER GROCERY INC.,Business,40.57752081545611,-73.95530080237096
Queens,YEMEN GROCERY I CORP,Business,40.68996089775627,-73.78640737351319
Queens,COSTCO WHOLESALE CORPORATION,Business,40.76719573598091,-73.93758513641492
Queens,"CEBI MANAGEMENT, INC.",Business,40.74487242482699,-73.94805376284786
Brooklyn,DWIP BANGLA GROCERY INC,Business,40.64292227943636,-73.9787725648465
Manhattan,DATA VISION COMPUTER VIDEO INC.,Business,40.75452319125179,-73.98924397629453
Staten Island,COSTCO WHOLESALE CORPORATION,Business,40.57254822859344,-74.1699574318884
Manhattan,TINA EMPLOYMENT AGENCY INC.,Business,40.71484277448889,-73.99803765321202
Queens,"WOHLFARTH, PAUL",Business,40.70820196544288,-73.91128838363875
Brooklyn,"MACY'S BACKSTAGE, INC.",Business,40.58369626939972,-73.94794511790388
Brooklyn,UBREAKIFIX DOWNTOWN BROOKLYN INC,Business,40.680835078642225,-73.99664696352237
Brooklyn,GABRIELS COMMUNITY SERVICE ORGANIZATION INC,Business,40.669980809733275,-73.93099996423969
Queens,TECH 51 CORP,Business,40.75383143557381,-73.9019226653267
