cliente_id,pais,ciudad,estado,borough,codigo_postal,latitud,longitud,ingreso_mediano,densidad_poblacional,genero,edad,es_mayor,tiene_pareja,tiene_dependientes,segmento_cliente,fecha_registro,tipo_contrato,antiguedad,canal_registro,metodo_pago,cargo_mensual,ingresos_totales,errores_pago,descuento_aplicado,aumento_precio_3m,facturacion_sin_papel,servicio_telefono,lineas_multiples,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,tiempo_sesion_promedio,visitas_app_mensual,features_nuevas_usadas,tickets_soporte,tiempo_resolucion,tipo_queja,escaladas,ultimo_contacto_soporte,puntuacion_nps,puntuacion_csat,tasa_apertura_email,tasa_clics_marketing,respuesta_encuesta,referencias_hechas,fecha_ultimo_pago,intentos_cobro_fallidos,dias_mora,cambio_plan_reciente,downgrade_reciente,competidores_area,ofertas_recibidas,precio_vs_mercado,cancelacion
0017-DINOC,USA,New York,NY,MANHATTAN,10234,40.61683832131458,-73.94498007371938,85000.0,28000.0,Masculino,50.0,0,No,No,PYME,2021-08-04,Dos años,54,Web,Tarjeta de crédito,84.82,4580.28,0,No,No,No,No,Sin servicio,DSL,Si,No,No,Si,Si,No,107,6,78.55,9,-0.45,112.27,71,7,0,11.8,Ninguna,0,2025-09-24,83,4.6,0.52,0.23,Satisfecho,0.0,2025-12-08,1,10,0,0,7,0,Alto,0
0017-IUDMW,USA,New York,NY,STATEN ISLAND,10311,40.674190330833696,-73.72829007180377,82000.0,3200.0,Femenino,35.0,0,Si,Si,Corporativo,2020-02-11,Dos años,72,Web,Tarjeta de crédito,168.87,12158.64,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,110,4,87.39,6,17.57,73.78,62,5,2,3.8,Ninguna,0,2025-08-22,77,4.5,0.42,0.2,Muy satisfecho,1.0,2025-12-20,1,0,0,0,1,0,Competitivo,0
0018-NYROU,USA,New York,NY,BRONX,10474,40.69351792278727,-73.80004150417464,42000.0,13000.0,Femenino,46.0,0,Si,No,Residencial,2025-08-13,Mensual,5,Web,Cheque electrónico,108.63,543.15,0,No,No,Si,Si,No,Fibra óptica,No,No,No,No,No,No,119,7,117.46,5,3.93,12.11,68,7,2,38.6,Precio,0,2025-11-02,39,3.5,0.22,0.07,Muy satisfecho,1.0,2025-12-20,3,0,1,0,8,3,Competitivo,0
0019-EFAEP,USA,New York,NY,BROOKLYN,11217,40.52891878619594,-74.16663057122528,63000.0,14000.0,Femenino,44.0,0,No,No,Corporativo,2020-02-11,Dos años,72,Web,Transferencia bancaria,156.32,11255.04,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,76,4,106.4,5,-1.48,76.02,99,4,2,48.0,Ninguna,0,2025-08-26,61,4.0,0.4,0.18,Sin Respuesta,1.0,2025-12-07,0,0,0,1,5,0,Bajo,0
0019-GFNTW,USA,New York,NY,MANHATTAN,10131,40.66544518452437,-73.75507182240952,85000.0,28000.0,Femenino,57.0,0,No,No,PYME,2021-06-05,Dos años,115,Web,Transferencia bancaria,62.77,7218.55,0,No,No,No,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,108,4,72.28,9,-3.47,16.16,42,3,0,7.1,Ninguna,0,2025-10-23,99,4.9,0.61,0.26,Satisfecho,2.0,2025-11-08,1,0,0,0,4,1,Competitivo,0
0020-INWCK,USA,New York,NY,MANHATTAN,10178,40.67726568902946,-73.98315639991446,85000.0,28000.0,Femenino,62.0,0,Si,Si,Corporativo,2020-03-12,Dos años,71,Web,Tarjeta de crédito,133.87,9504.77,0,No,No,Si,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,94,5,90.0,8,20.51,20.96,93,9,1,41.0,Ninguna,0,2025-08-27,82,4.8,0.54,0.23,Satisfecho,0.0,2025-11-25,1,5,0,0,6,0,Competitivo,0
0020-JDNXP,USA,New York,NY,BROOKLYN,11233,40.59152209192495,-74.10093905683411,63000.0,14000.0,Femenino,45.0,0,Si,Si,PYME,2023-03-27,Un año,34,Web,Cheque por correo,99.88,3395.92,0,No,No,No,No,Sin servicio,DSL,Si,No,Si,Si,Si,Si,78,7,48.64,8,9.15,27.0,59,2,2,10.2,Ninguna,0,2025-08-23,61,3.5,0.44,0.18,Satisfecho,0.0,2025-11-21,1,0,0,0,5,1,Competitivo,0
0021-IKXGC,USA,New York,NY,QUEENS,11233,40.63590304501957,-73.97473584799525,72000.0,8500.0,Femenino,44.0,1,No,No,PYME,2025-12-11,Mensual,1,Web,Cheque electrónico,115.8,115.8,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,No,No,96,5,78.97,7,10.11,46.8,28,1,3,29.0,Servicio,0,2025-11-17,47,2.9,0.23,0.09,Sin Respuesta,0.0,2025-12-07,0,10,0,0,1,1,Bajo,0
0022-TCJCI,USA,New York,NY,BROOKLYN,11216,40.58754705395587,-73.81145520439269,63000.0,14000.0,Masculino,53.0,1,No,No,Residencial,2022-05-01,Un año,45,Web,Tarjeta de crédito,62.99,2834.55,0,No,No,No,Si,No,DSL,Si,No,Si,No,No,Si,88,7,90.63,5,-3.16,73.06,85,8,4,37.3,Precio,0,2025-08-25,10,1.4,0.28,0.09,Muy satisfecho,0.0,2025-12-28,0,5,1,1,4,0,Competitivo,0
0023-HGHWL,USA,New York,NY,BROOKLYN,11224,40.83017263379629,-73.91855875257592,63000.0,14000.0,Masculino,39.0,1,No,No,Residencial,2025-12-11,Mensual,1,Web,Cheque electrónico,53.67,53.67,5,20%,No,Si,No,Sin servicio,DSL,No,No,No,No,No,No,37,2,35.02,1,-5.23,43.36,77,0,20,46.9,Red,5,2025-11-23,10,2.4,0.11,0.04,Muy insatisfecho,0.0,2025-12-09,0,0,1,0,8,3,Competitivo,1
0023-UYUPN,USA,New York,NY,QUEENS,11385,40.74113606524688,-73.98147665217182,72000.0,8500.0,Femenino,72.0,1,Si,No,Residencial,2021-12-02,Un año,50,Web,Cheque electrónico,17.77,888.5,0,No,Si,No,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,102,5,112.61,11,14.37,57.01,73,9,2,16.1,Ninguna,0,2025-07-29,79,4.7,0.8,0.33,Neutral,1.0,2025-11-08,1,10,1,1,7,0,Bajo,0
0023-XUOPT,USA,New York,NY,MANHATTAN,10094,40.71516370263715,-73.99279266955001,85000.0,28000.0,Femenino,57.0,0,Si,No,PYME,2024-12-16,Mensual,13,Web,Cheque electrónico,148.29,1927.77,3,No,No,No,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,39,3,19.91,1,-12.54,10.44,10,1,6,21.7,Red,3,2025-10-01,15,1.5,0.13,0.06,No respondió,0.0,2025-12-29,3,15,0,0,8,3,Alto,1
0027-KWYKW,USA,New York,NY,BROOKLYN,11231,40.59222770984805,-73.9930111744147,63000.0,14000.0,Femenino,43.0,0,Si,Si,PYME,2024-02-20,Mensual,23,Web,Cheque electrónico,148.04,3404.9199999999996,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,Si,No,73,5,112.66,8,22.08,76.27,34,5,2,44.4,Red,0,2025-08-27,35,3.2,0.3,0.09,Sin Respuesta,0.0,2025-12-07,0,5,0,0,2,0,Competitivo,0
0030-FNXPP,USA,New York,NY,BROOKLYN,11232,40.11238533659802,-77.51958437167269,63000.0,14000.0,Femenino,26.0,0,No,No,Residencial,2025-10-12,Mensual,3,Web,Cheque por correo,23.97,71.91,2,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,96,5,94.61,9,18.5,80.56,22,5,3,42.0,Ninguna,0,2025-12-16,37,3.9,0.47,0.22,Satisfecho,0.0,2025-11-17,0,15,0,0,5,0,Bajo,0
0031-PVLZI,USA,New York,NY,BROOKLYN,11235,40.8708970496833,-73.87923488967775,63000.0,14000.0,Femenino,24.0,0,Si,Si,Residencial,2025-09-12,Mensual,4,Web,Cheque por correo,28.83,115.32,1,10%,Si,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,37,3,12.72,4,1.04,16.43,71,0,8,44.9,Servicio,3,2025-07-17,19,1.6,0.19,0.09,Insatisfecho,0.0,2025-12-01,0,0,0,0,4,0,Bajo,1
0032-PGELS,USA,New York,NY,BRONX,10460,40.86192536295423,-73.84331933588071,42000.0,13000.0,Femenino,31.0,0,Si,Si,Residencial,2025-12-11,Mensual,1,Web,Transferencia bancaria,42.21,42.21,4,15%,No,No,No,Sin servicio,DSL,Si,No,No,No,No,No,14,3,23.31,4,-4.27,95.29,20,7,5,46.0,Red,2,2025-07-18,18,2.1,0.27,0.11,Neutral,0.0,2025-11-23,1,5,0,0,7,3,Competitivo,0
0036-IHMOT,USA,New York,NY,MANHATTAN,10247,40.57213812979305,-74.11290346939353,85000.0,28000.0,Femenino,38.0,0,Si,Si,Corporativo,2021-07-05,Un año,55,Web,Transferencia bancaria,141.57,7786.349999999999,0,No,No,Si,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,106,4,80.74,11,5.02,79.46,36,10,1,6.5,Ninguna,0,2025-10-29,64,3.9,0.42,0.19,Satisfecho,1.0,2025-12-29,3,5,0,0,7,0,Competitivo,0
0040-HALCW,USA,New York,NY,QUEENS,11295,40.74140709309592,-73.87994234286086,72000.0,8500.0,Masculino,40.0,0,Si,Si,Residencial,2021-08-04,Dos años,54,Web,Tarjeta de crédito,19.07,1029.78,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,101,6,71.44,10,14.21,61.32,27,3,1,20.2,Ninguna,0,2025-10-30,65,4.0,0.2,0.08,Muy satisfecho,0.0,2025-12-10,1,0,1,0,4,1,Bajo,0
0042-JVWOJ,USA,New York,NY,QUEENS,11020,40.5994116807878,-73.9512061924252,72000.0,8500.0,Masculino,64.0,0,No,No,Residencial,2023-11-22,Un año,26,Web,Transferencia bancaria,27.43,713.18,0,No,No,Si,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,68,6,53.7,5,1.76,68.58,94,6,2,39.6,Ninguna,0,2025-10-14,84,4.7,0.45,0.18,Muy satisfecho,0.0,2025-11-28,0,10,0,0,7,1,Competitivo,0
0042-RLHYP,USA,New York,NY,MANHATTAN,10117,40.11238533659802,-77.51958437167269,85000.0,28000.0,Femenino,31.0,0,Si,Si,Residencial,2020-05-11,Dos años,69,Web,Transferencia bancaria,20.35,1404.15,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,138,5,86.37,10,-0.89,62.85,57,9,2,23.3,Ninguna,0,2025-12-13,82,4.4,0.74,0.24,Sin Respuesta,1.0,2025-12-19,0,30,1,0,1,0,Competitivo,0
0048-LUMLS,USA,New York,NY,MANHATTAN,10228,40.76965943864128,-73.93089307999601,85000.0,28000.0,Masculino,44.0,0,Si,Si,PYME,2022-12-27,Un año,37,Web,Tarjeta de crédito,124.32,4599.84,1,No,No,No,Si,No,Fibra óptica,No,No,No,No,Si,Si,70,5,54.88,6,11.15,11.19,52,8,4,45.7,Servicio,0,2025-07-27,37,3.5,0.44,0.18,Satisfecho,0.0,2025-11-03,0,10,0,0,6,3,Bajo,0
0048-PIHNL,USA,New York,NY,MANHATTAN,10154,40.7585192921029,-73.84442527636939,85000.0,28000.0,Femenino,25.0,0,Si,No,Residencial,2022-01-01,Un año,49,Web,Transferencia bancaria,27.03,1324.47,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,99,5,113.63,10,9.36,89.54,27,1,2,17.1,Ninguna,0,2025-10-21,50,3.7,0.27,0.1,Sin Respuesta,0.0,2025-12-09,2,0,0,0,7,0,Bajo,0
0052-DCKON,USA,New York,NY,BRONX,10474,40.73872186035853,-73.86668214529286,42000.0,13000.0,Masculino,55.0,0,Si,No,Corporativo,2020-08-09,Un año,66,Web,Transferencia bancaria,146.75,9685.5,2,No,No,No,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,78,7,109.89,7,-0.49,63.86,41,6,2,6.4,Ninguna,0,2025-12-07,81,4.7,0.62,0.24,Muy satisfecho,1.0,2025-11-17,0,15,0,0,8,3,Alto,0
0052-YNYOT,USA,New York,NY,STATEN ISLAND,10311,40.71370632094658,-73.99434031320517,82000.0,3200.0,Femenino,30.0,0,No,No,Residencial,2020-07-10,Un año,67,Web,Cheque electrónico,15.08,1010.36,0,10%,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,118,5,80.64,6,10.91,24.87,90,0,2,29.2,Ninguna,0,2025-11-23,53,3.5,0.42,0.13,Satisfecho,0.0,2025-12-06,1,15,1,0,8,1,Alto,0
0056-EPFBG,USA,New York,NY,BRONX,10456,40.66667747096941,-73.88202696923166,42000.0,13000.0,Masculino,54.0,0,Si,Si,PYME,2024-05-20,Dos años,20,Web,Tarjeta de crédito,84.53,1690.6,0,No,No,Si,No,Sin servicio,DSL,Si,No,Si,Si,No,No,40,6,50.08,11,11.39,83.28,84,2,1,7.5,Ninguna,0,2025-08-19,65,3.4,0.37,0.15,Neutral,1.0,2025-11-12,0,10,1,0,5,0,Competitivo,0
0057-QBUQH,USA,New York,NY,BROOKLYN,11211,40.844369030800515,-73.93733562851502,63000.0,14000.0,Femenino,24.0,0,No,Si,Residencial,2022-06-30,Dos años,43,Web,Cheque electrónico,25.94,1115.42,0,No,Si,Si,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,95,7,86.42,9,21.15,84.93,72,3,1,34.3,Ninguna,0,2025-08-05,82,4.5,0.42,0.17,Muy satisfecho,2.0,2025-12-04,1,10,0,0,6,0,Competitivo,0
0058-EVZWM,USA,New York,NY,MANHATTAN,10002,40.74697551760021,-73.89026847846661,85000.0,28000.0,Femenino,53.0,0,Si,No,PYME,2021-07-05,Mensual,55,Web,Transferencia bancaria,131.76,7246.799999999999,2,No,No,Si,Si,Si,Fibra óptica,Si,No,No,No,Si,No,122,5,89.42,10,17.78,29.55,92,2,4,31.8,Ninguna,1,2025-07-14,47,4.0,0.46,0.21,Neutral,0.0,2025-11-02,0,5,1,1,8,3,Alto,0
0060-FUALY,USA,New York,NY,QUEENS,11641,40.768212117096155,-73.77952094257229,72000.0,8500.0,Femenino,40.0,0,Si,No,PYME,2021-03-07,Mensual,59,Web,Cheque electrónico,112.37,6629.83,0,No,No,Si,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,140,7,111.63,6,1.53,96.6,60,7,2,13.1,Red,0,2025-12-09,60,3.8,0.37,0.16,No respondió,0.0,2025-11-19,1,15,0,1,2,0,Bajo,0
0064-SUDOG,USA,New York,NY,BROOKLYN,11239,40.70818048028021,-73.83084375207508,63000.0,14000.0,Femenino,42.0,0,Si,Si,Residencial,2025-01-15,Dos años,12,Web,Transferencia bancaria,27.95,335.4,0,No,No,No,Si,No,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,97,5,50.06,6,19.54,57.5,78,10,2,32.9,Ninguna,0,2025-07-23,50,3.9,0.4,0.13,Sin Respuesta,0.0,2025-12-03,0,0,0,0,3,0,Alto,0
0064-YIJGF,USA,New York,NY,MANHATTAN,10141,40.71077845964728,-73.94515863358788,85000.0,28000.0,Masculino,56.0,0,Si,Si,PYME,2023-10-23,Mensual,27,Web,Transferencia bancaria,113.92,3075.84,0,No,No,Si,Si,Si,Fibra óptica,No,No,No,No,No,No,130,4,96.91,8,24.07,25.77,32,6,3,18.1,Ninguna,0,2025-11-15,56,4.2,0.37,0.17,No respondió,1.0,2025-12-15,3,30,0,0,1,2,Competitivo,0
0067-DKWBL,USA,New York,NY,BROOKLYN,11245,40.59608666065471,-74.07603173570513,63000.0,14000.0,Masculino,44.0,1,No,No,Residencial,2025-11-11,Mensual,2,Web,Cheque electrónico,48.27,96.54,1,10%,No,Si,Si,No,DSL,Si,No,No,No,No,No,25,3,29.7,1,-0.67,80.63,54,2,5,12.9,Red,2,2025-09-17,22,2.0,0.16,0.08,Muy insatisfecho,0.0,2025-12-16,2,0,0,0,7,0,Competitivo,1
0068-FIGTF,USA,New York,NY,MANHATTAN,10061,40.6758594284048,-73.84347526766143,85000.0,28000.0,Femenino,57.0,0,No,No,PYME,2023-10-23,Un año,27,Web,Cheque por correo,88.56,2391.12,1,No,No,No,Si,No,DSL,No,Si,Si,Si,Si,Si,93,6,58.11,9,18.61,73.62,36,6,1,10.1,Ninguna,0,2025-07-14,83,4.0,0.58,0.19,Satisfecho,1.0,2025-11-14,1,30,0,0,6,3,Competitivo,0
0071-NDAFP,USA,New York,NY,BRONX,10461,40.51005524980205,-74.24782208344305,42000.0,13000.0,Masculino,44.0,0,Si,Si,Residencial,2023-12-22,Dos años,25,Web,Tarjeta de crédito,24.56,614.0,8,No,No,No,Si,Si,No,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,Sin servicio internet,110,6,54.13,7,2.99,24.6,46,1,15,24.9,Ninguna,5,2025-07-05,50,3.4,0.25,0.12,Satisfecho,0.0,2025-11-10,2,0,0,0,4,0,Bajo,0
0074-HDKDG,USA,New York,NY,BROOKLYN,11211,40.535572687765864,-74.15247267563302,63000.0,14000.0,Masculino,50.0,0,Si,Si,Residencial,2023-12-22,Un año,25,Web,Transferencia bancaria,62.18,1554.5,0,No,No,Si,Si,No,DSL,Si,Si,Si,No,No,No,82,4,97.05,11,24.76,105.32,35,10,2,36.7,Ninguna,0,2025-10-07,65,3.1,0.46,0.22,Muy satisfecho,0.0,2025-11-17,1,30,1,0,8,1,Competitivo,0
0076-LVEPS,USA,New York,NY,QUEENS,11691,40.56462874563699,-74.14869870057498,72000.0,8500.0,Masculino,44.0,0,No,Si,Residencial,2023-08-24,Mensual,29,Web,Cheque por correo,58.0,1682.0,0,No,No,Si,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,136,6,70.49,11,0.29,103.27,27,10,1,8.9,Ninguna,0,2025-11-05,80,5.0,0.4,0.16,Muy satisfecho,2.0,2025-11-06,0,0,1,0,5,1,Competitivo,0
0078-XZMHT,USA,New York,NY,BROOKLYN,11228,40.76608767141117,-73.96566499762076,63000.0,14000.0,Masculino,49.0,0,Si,No,Corporativo,2020-02-11,Dos años,72,Web,Transferencia bancaria,126.89,9136.08,0,No,No,Si,Si,Si,DSL,No,Si,Si,Si,Si,Si,93,6,120.0,11,17.53,101.17,9,2,2,6.8,Ninguna,0,2025-10-15,65,3.3,0.29,0.14,Neutral,0.0,2025-11-09,0,0,0,0,3,1,Competitivo,0
0080-EMYVY,USA,New York,NY,QUEENS,11126,40.70454377623595,-73.90186173156883,72000.0,8500.0,Femenino,37.0,0,No,No,Residencial,2024-11-16,Un año,14,Web,Tarjeta de crédito,52.34,732.76,0,No,Si,No,Si,No,DSL,No,Si,No,No,No,No,41,7,112.05,8,6.86,50.91,22,6,2,47.9,Ninguna,0,2025-11-19,51,3.5,0.36,0.15,Neutral,1.0,2025-11-04,0,0,0,0,6,1,Competitivo,0
0080-OROZO,USA,New York,NY,QUEENS,11565,40.756192112317805,-73.99056478174674,72000.0,8500.0,Femenino,57.0,0,No,No,Corporativo,2023-02-25,Un año,35,Web,Cheque electrónico,157.88,5525.8,0,No,No,Si,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,53,7,87.43,7,5.71,99.83,91,9,2,5.9,Ninguna,0,2025-12-18,51,3.6,0.37,0.12,Sin Respuesta,1.0,2025-12-28,1,5,0,0,8,2,Competitivo,0
0082-LDZUE,USA,New York,NY,MANHATTAN,10054,40.70300026294933,-73.8679654063348,85000.0,28000.0,Masculino,41.0,0,No,No,Residencial,2025-12-11,Mensual,1,Web,Cheque por correo,40.79,40.79,0,No,No,Si,Si,No,DSL,No,No,No,No,No,No,145,5,93.13,11,3.55,102.15,97,4,2,21.8,Ninguna,0,2025-11-07,47,3.5,0.26,0.08,No respondió,0.0,2025-11-24,0,10,1,0,4,0,Competitivo,0
0082-OQIQY,USA,New York,NY,STATEN ISLAND,10304,40.65807162354086,-73.9151935069124,82000.0,3200.0,Masculino,60.0,0,No,No,Corporativo,2023-08-24,Mensual,29,Web,Cheque electrónico,175.94,5102.26,0,No,Si,Si,Si,No,Fibra óptica,No,No,No,Si,Si,Si,42,6,56.92,5,8.23,119.6,4,8,2,2.8,Ninguna,0,2025-08-13,80,4.5,0.79,0.32,Neutral,0.0,2025-11-10,0,10,0,0,5,3,Competitivo,0
0083-PIVIK,USA,New York,NY,BRONX,10474,40.6356257471606,-73.99508554482603,42000.0,13000.0,Masculino,39.0,0,No,No,PYME,2020-10-08,Un año,64,Web,Cheque electrónico,82.14,5256.96,0,No,Si,No,Si,Si,DSL,Si,Si,Si,Si,Si,No,53,5,112.05,6,18.73,115.12,81,7,2,5.0,Ninguna,0,2025-11-26,68,3.3,0.41,0.16,Satisfecho,1.0,2025-12-24,2,0,1,0,5,2,Bajo,0
0089-IIQKO,USA,New York,NY,BRONX,10454,40.57832431658436,-73.84431222604964,42000.0,13000.0,Femenino,62.0,0,Si,Si,Corporativo,2022-10-28,Mensual,39,Web,Tarjeta de crédito,141.09,5502.51,0,10%,No,Si,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,44,7,79.42,10,23.23,49.03,5,5,1,3.3,Ninguna,0,2025-10-09,62,4.1,0.48,0.17,No respondió,0.0,2025-12-10,3,30,1,1,3,0,Bajo,0
